日期,收盘,开盘,高,低,交易量,涨跌幅
2015-01-04,24.2,24.14,24.49,23.37,57.09M,-0.51%
2015-01-11,23.92,24.08,24.35,23.22,57.23M,-1.14%
2015-01-18,24.13,24.09,24.55,23.74,39.18M,0.84%
2015-01-25,23.84,24.11,24.26,23.5,54.33M,-1.16%
2015-02-01,24.96,23.87,25.07,23.71,59.82M,4.68%
2015-02-08,25.72,24.83,25.76,24.83,35.95M,3.04%
2015-02-15,25.97,25.6,26,25.56,25.65M,0.95%
2015-02-22,25.75,25.88,26.11,25.73,26.24M,-0.85%
2015-03-01,25.23,25.75,25.92,25.18,32.23M,-2.00%
2015-03-08,24.92,25.25,25.34,24.76,35.01M,-1.23%
2015-03-15,24.61,25.03,25.13,24.35,54.22M,-1.22%
2015-03-22,24.31,24.58,24.72,24.19,34.08M,-1.26%
2015-03-29,24.49,24.45,24.72,24.24,25.87M,0.74%
2015-04-05,24.85,24.45,24.85,24.3,20.46M,1.49%
2015-04-12,24.81,24.76,25.19,24.69,25.58M,-0.16%
2015-04-19,25.13,24.85,25.14,24.66,33.52M,1.29%
2015-04-26,25.63,25.2,25.69,25.11,42.89M,1.97%
2015-05-03,25.78,25.7,25.89,25.06,47.58M,0.62%
2015-05-10,25.75,25.77,25.81,25.27,35.99M,-0.12%
2015-05-17,25.56,25.65,25.73,25.43,22.55M,-0.76%
2015-05-24,25.31,25.43,25.49,25.15,23.15M,-1.00%
2015-05-31,25,25.36,25.58,24.9,34.78M,-1.19%
2015-06-07,25.1,25,25.3,24.9,26.98M,0.38%
2015-06-14,25.1,24.91,25.45,24.82,32.81M,0.00%
2015-06-21,24.69,25.24,25.24,24.66,25.46M,-1.63%
2015-06-28,24.25,24.5,24.58,24.09,46.11M,-1.78%
2015-07-05,23.85,24.06,24.28,23.43,58.99M,-1.67%
2015-07-12,23.83,24,24.3,23.7,40.48M,-0.08%
2015-07-19,22.54,23.83,23.83,22.39,51.84M,-5.41%
2015-07-26,22.98,22.31,23.19,22.22,87.09M,1.93%
2015-08-02,22.61,22.95,23.25,22.53,60.21M,-1.59%
2015-08-09,22.86,22.83,23.18,22.49,45.94M,1.11%
2015-08-16,21.59,22.81,23,21.59,56.09M,-5.53%
2015-08-23,21.8,20.32,21.88,19.67,167.03M,0.95%
2015-08-30,21.02,21.72,21.84,20.89,74.99M,-3.56%
2015-09-06,21.41,21.41,21.86,21.22,43.56M,1.81%
2015-09-13,20.94,21.38,21.87,20.87,61.07M,-2.17%
2015-09-20,20.1,21.09,21.17,19.73,72.30M,-4.01%
2015-09-27,20.68,20.01,20.68,19.42,132.43M,2.89%
2015-10-04,22.08,20.9,22.28,20.72,133.99M,6.75%
2015-10-11,22.05,22.12,22.19,21.64,69.17M,-0.14%
2015-10-18,22.51,21.9,22.6,21.69,53.99M,2.11%
2015-10-25,22.64,22.48,22.83,22.04,59.20M,0.58%
2015-11-01,22.67,22.67,23.04,22.39,81.36M,0.11%
2015-11-08,22.2,22.56,22.66,21.87,65.34M,-2.05%
2015-11-15,22.76,22.25,23,22.17,74.77M,2.55%
2015-11-22,22.81,22.8,23.05,22.61,31.02M,0.20%
2015-11-29,22.91,22.87,23.03,22.4,67.44M,0.44%
2015-12-06,21.97,22.78,23.03,21.94,82.76M,-4.10%
2015-12-13,21.14,21.85,22.06,21.14,90.89M,-3.80%
2015-12-20,22.06,21.28,22.15,21.15,41.38M,4.35%
2015-12-27,21.71,21.96,22.18,21.71,32.13M,-1.56%
2016-01-03,20.03,21.36,21.46,19.98,109.03M,-7.74%
2016-01-10,19.13,20.14,20.14,18.88,95.75M,-4.52%
2016-01-17,19.25,19.3,19.54,18.15,87.86M,0.68%
2016-01-24,19.39,19.07,19.4,18.61,82.40M,0.68%
2016-01-31,20.31,19.27,20.67,19.04,131.08M,4.75%
2016-02-07,19.97,20,20.31,19.24,110.73M,-1.65%
2016-02-14,20.38,20.17,20.79,19.92,51.24M,2.03%
2016-02-21,21.03,20.6,21.15,19.95,67.85M,3.21%
2016-02-28,21.73,21.07,21.87,20.89,94.62M,3.33%
2016-03-06,22.2,21.74,22.26,21.42,64.77M,2.16%
2016-03-13,22.71,22.06,22.87,21.72,66.31M,2.30%
2016-03-20,22.27,22.66,22.82,22,37.19M,-1.92%
2016-03-27,22.62,22.25,22.69,22.08,52.46M,1.55%
2016-04-03,22.26,22.48,22.6,21.99,52.58M,-1.59%
2016-04-10,23.01,22.46,23.03,22.36,40.70M,3.39%
2016-04-17,23.6,22.9,23.7,22.82,57.60M,2.56%
2016-04-24,23.55,23.58,23.95,23.34,54.77M,-0.23%
2016-05-01,23.08,23.65,23.65,22.77,74.69M,-2.00%
2016-05-08,22.98,22.91,23.59,22.77,69.20M,-0.45%
2016-05-15,23.14,23.02,23.49,22.71,66.06M,0.72%
2016-05-22,23.59,23.25,24.09,23.24,44.14M,1.94%
2016-05-29,23.83,23.7,23.89,23.18,35.44M,1.02%
2016-06-05,23.87,23.93,24.3,23.81,46.58M,0.17%
2016-06-12,23.6,23.88,23.96,23.23,57.70M,-1.13%
2016-06-19,23.01,23.83,24.07,22.95,56.15M,-2.50%
2016-06-26,23.18,22.83,23.33,22.11,74.05M,0.74%
2016-07-03,23.48,23.06,23.52,22.51,41.82M,1.29%
2016-07-10,24.39,23.56,24.46,23.5,47.83M,3.88%
2016-07-17,24.33,24.39,24.58,24.17,35.99M,-0.25%
2016-07-24,24.34,24.31,24.59,24.13,42.41M,0.06%
2016-07-31,24.39,24.35,24.43,23.99,39.60M,0.16%
2016-08-07,24.21,24.41,24.53,24.16,34.11M,-0.72%
2016-08-14,24.5,24.3,24.59,24.1,34.12M,1.18%
2016-08-21,24.36,24.41,24.78,24.26,40.91M,-0.53%
2016-08-28,24.63,24.33,24.7,24.2,37.95M,1.07%
2016-09-04,23.72,24.65,24.72,23.69,40.97M,-3.68%
2016-09-11,23.38,23.58,24.01,23.27,78.96M,-1.43%
2016-09-18,23.66,23.49,23.98,23.34,41.16M,1.18%
2016-09-25,23.88,23.67,23.96,23.42,42.01M,0.93%
2016-10-02,23.43,23.89,23.95,23.35,63.76M,-1.86%
2016-10-09,23.16,23.57,23.74,22.78,56.43M,-1.15%
2016-10-16,23.53,23.17,23.62,23.14,30.93M,1.60%
2016-10-23,23.36,23.62,23.66,23.2,39.60M,-0.70%
2016-10-30,23.2,23.37,23.52,23.06,71.77M,-0.71%
2016-11-06,24.08,23.47,24.53,23.4,108.41M,3.77%
2016-11-13,24.16,24.18,24.28,23.94,54.09M,0.35%
2016-11-20,24.78,24.19,24.8,24.19,28.07M,2.57%
