日期,收盘,开盘,高,低,交易量,涨跌幅
2015-01-04,50.11,56.25,56.3,48.9,1.48M,-11.18%
2015-01-11,50.17,49.93,50.62,45.19,865.74K,0.12%
2015-01-18,48.79,50.1,50.45,47.78,1.20M,-2.75%
2015-01-25,52.99,48.56,53.08,47.57,1.34M,8.61%
2015-02-01,57.8,52.68,59.06,51.41,1.77M,9.08%
2015-02-08,61.52,57.93,61.77,53.91,852.51K,6.44%
2015-02-15,60.22,61.49,63,57.8,1.20M,-2.11%
2015-02-22,62.58,60.3,62.83,58.1,1.31M,3.92%
2015-03-01,59.73,62.5,62.5,59.17,1.22M,-4.55%
2015-03-08,54.67,59.62,60.02,54.43,776.44K,-8.47%
2015-03-15,55.32,54.41,56.84,52.5,914.68K,1.19%
2015-03-22,56.41,55.24,59.78,54.12,1.20M,1.97%
2015-03-29,54.95,55.96,57.69,54,1.00M,-2.59%
2015-04-05,57.87,55.18,59.27,55.08,926.55K,5.31%
2015-04-12,63.45,58.02,64.95,57.46,760.90K,9.64%
2015-04-19,65.28,63.85,65.8,61.39,1.27M,2.88%
2015-04-26,66.46,65.47,66.93,63.9,1.04M,1.81%
2015-05-03,65.39,66.4,69.63,64.23,1.21M,-1.61%
2015-05-10,66.81,65.37,68.17,64.25,735.94K,2.17%
2015-05-17,65.37,66.91,67.88,63.95,1.10M,-2.16%
2015-05-24,65.56,65.56,66.22,61.24,1.04M,0.29%
2015-05-31,63.31,65.59,65.88,60.94,1.21M,-3.43%
2015-06-07,63.87,63.06,66.36,62.47,854.02K,0.88%
2015-06-14,63.02,63.62,65.47,62.24,1.07M,-1.33%
2015-06-21,63.26,62.57,65.05,62.1,1.16M,0.38%
2015-06-28,60.32,62.85,63.83,60.12,1.10M,-4.65%
2015-07-05,58.73,60,60,55.1,1.36M,-2.64%
2015-07-12,57.1,58.35,58.83,56.4,571.04K,-2.78%
2015-07-19,54.62,57.12,57.44,54.3,973.56K,-4.34%
2015-07-26,52.21,54.45,54.89,51.63,1.24M,-4.41%
2015-08-02,48.61,51.55,52.01,48.42,1.29M,-6.90%
2015-08-09,49.03,48.43,51.1,48.24,722.56K,0.86%
2015-08-16,45.46,48.76,49.44,45.07,1.09M,-7.28%
2015-08-23,50.05,45.35,50.98,42.23,1.62M,10.10%
2015-08-30,49.61,50.05,54.32,47.74,1.51M,-0.88%
2015-09-06,48.14,49.27,50.04,46.76,857.13K,-2.96%
2015-09-13,47.47,48.08,50.34,45.98,865.43K,-1.39%
2015-09-20,48.6,47.64,50.25,47.4,985.01K,2.38%
2015-09-27,48.13,48.34,49.84,46.93,1.03M,-0.97%
2015-10-04,52.65,48.08,54.05,47.84,1.21M,9.39%
2015-10-11,50.46,52.64,53.31,48.21,581.18K,-4.16%
2015-10-18,47.99,50.38,50.68,47.45,1.16M,-4.89%
2015-10-25,49.56,48,50,46.41,1.20M,3.27%
2015-11-01,47.42,49.5,50.91,47.27,1.31M,-4.32%
2015-11-08,43.61,47.46,48.41,43.57,762.98K,-8.03%
2015-11-15,44.66,44.7,45.5,43.15,1.27M,2.41%
2015-11-22,44.86,44.46,46.5,43.57,1.05M,0.45%
2015-11-29,43,44.86,45.75,42.43,1.48M,-4.15%
2015-12-06,37.93,43.26,43.26,37.36,1.24M,-11.79%
2015-12-13,36.88,37.85,39.41,36.33,625.94K,-2.77%
2015-12-20,37.89,36.55,38.1,35.98,649.41K,2.74%
2015-12-27,37.28,37.84,37.98,36.1,579.13K,-1.61%
2016-01-03,33.55,37.85,38.99,32.16,1.39M,-10.01%
2016-01-10,28.94,33.34,33.38,28.82,797.40K,-13.74%
2016-01-17,32.18,28.73,32.3,27.1,1.81M,11.20%
2016-01-24,34.74,32.1,35.84,29.27,1.13M,7.96%
2016-01-31,34.06,35.85,36.25,32.23,1.70M,-1.96%
2016-02-07,33.36,33.99,34.68,29.92,1.59M,-2.06%
2016-02-14,33.01,32.77,35.73,31.82,1.53M,-1.05%
2016-02-21,35.1,33.25,37,32.37,1.26M,6.33%
2016-02-28,38.72,35.1,38.95,34.83,1.14M,10.31%
2016-03-06,40.39,38.88,41.48,38.87,1.59M,4.31%
2016-03-13,41.2,40.25,42.54,38.32,1.29M,2.01%
2016-03-20,40.44,41.31,42.08,39.22,946.49K,-1.84%
2016-03-27,38.67,40.58,41,38.55,645.24K,-4.38%
2016-04-03,41.94,38.69,42.01,37.27,1.56M,8.46%
