"TradingDate","Symbol","FundClassID","NAV","AccumulativeNAV","AnnualizedYield","Frequency","MarketStatus"
"2016-01-04","000042","202000000031","1.4680","1.4680","","每日","交易日"
"2016-01-05","000042","202000000031","1.4730","1.4730","","每日","交易日"
"2016-01-06","000042","202000000031","1.5100","1.5100","","每日","交易日"
"2016-01-07","000042","202000000031","1.4080","1.4080","","每日","交易日"
"2016-01-08","000042","202000000031","1.4440","1.4440","","每日","交易日"
"2016-01-11","000042","202000000031","1.3830","1.3830","","每日","交易日"
"2016-01-12","000042","202000000031","1.3890","1.3890","","每日","交易日"
"2016-01-13","000042","202000000031","1.3670","1.3670","","每日","交易日"
"2016-01-14","000042","202000000031","1.3930","1.3930","","每日","交易日"
"2016-01-15","000042","202000000031","1.3440","1.3440","","每日","交易日"
"2016-01-18","000042","202000000031","1.3450","1.3450","","每日","交易日"
"2016-01-19","000042","202000000031","1.3850","1.3850","","每日","交易日"
"2016-01-20","000042","202000000031","1.3680","1.3680","","每日","交易日"
"2016-01-21","000042","202000000031","1.3300","1.3300","","每日","交易日"
"2016-01-22","000042","202000000031","1.3450","1.3450","","每日","交易日"
"2016-01-25","000042","202000000031","1.3520","1.3520","","每日","交易日"
"2016-01-26","000042","202000000031","1.2730","1.2730","","每日","交易日"
"2016-01-27","000042","202000000031","1.2670","1.2670","","每日","交易日"
"2016-01-28","000042","202000000031","1.2320","1.2320","","每日","交易日"
"2016-01-29","000042","202000000031","1.2680","1.2680","","每日","交易日"
"2016-02-01","000042","202000000031","1.2430","1.2430","","每日","交易日"
"2016-02-02","000042","202000000031","1.2670","1.2670","","每日","交易日"
"2016-02-03","000042","202000000031","1.2640","1.2640","","每日","交易日"
"2016-02-04","000042","202000000031","1.2700","1.2700","","每日","交易日"
"2016-02-05","000042","202000000031","1.2590","1.2590","","每日","交易日"
"2016-02-15","000042","202000000031","1.2500","1.2500","","每日","交易日"
"2016-02-16","000042","202000000031","1.2880","1.2880","","每日","交易日"
"2016-02-17","000042","202000000031","1.3020","1.3020","","每日","交易日"
"2016-02-18","000042","202000000031","1.3000","1.3000","","每日","交易日"
"2016-02-19","000042","202000000031","1.2970","1.2970","","每日","交易日"
"2016-02-22","000042","202000000031","1.3250","1.3250","","每日","交易日"
"2016-02-23","000042","202000000031","1.3140","1.3140","","每日","交易日"
"2016-02-24","000042","202000000031","1.3240","1.3240","","每日","交易日"
"2016-02-25","000042","202000000031","1.2440","1.2440","","每日","交易日"
"2016-02-26","000042","202000000031","1.2620","1.2620","","每日","交易日"
"2016-02-29","000042","202000000031","1.2340","1.2340","","每日","交易日"
"2016-03-01","000042","202000000031","1.2550","1.2550","","每日","交易日"
"2016-03-02","000042","202000000031","1.3060","1.3060","","每日","交易日"
"2016-03-03","000042","202000000031","1.3070","1.3070","","每日","交易日"
"2016-03-04","000042","202000000031","1.3210","1.3210","","每日","交易日"
"2016-03-07","000042","202000000031","1.3280","1.3280","","每日","交易日"
"2016-03-08","000042","202000000031","1.3260","1.3260","","每日","交易日"
"2016-03-09","000042","202000000031","1.3040","1.3040","","每日","交易日"
"2016-03-10","000042","202000000031","1.2820","1.2820","","每日","交易日"
"2016-03-11","000042","202000000031","1.2820","1.2820","","每日","交易日"
"2016-03-14","000042","202000000031","1.3020","1.3020","","每日","交易日"
"2016-03-15","000042","202000000031","1.3040","1.3040","","每日","交易日"
"2016-03-16","000042","202000000031","1.3060","1.3060","","每日","交易日"
"2016-03-17","000042","202000000031","1.3190","1.3190","","每日","交易日"
"2016-03-18","000042","202000000031","1.3360","1.3360","","每日","交易日"
"2016-03-21","000042","202000000031","1.3610","1.3610","","每日","交易日"
"2016-03-22","000042","202000000031","1.3510","1.3510","","每日","交易日"
"2016-03-23","000042","202000000031","1.3530","1.3530","","每日","交易日"
"2016-03-24","000042","202000000031","1.3300","1.3300","","每日","交易日"
"2016-03-25","000042","202000000031","1.3370","1.3370","","每日","交易日"
"2016-03-28","000042","202000000031","1.3290","1.3290","","每日","交易日"
"2016-03-29","000042","202000000031","1.3140","1.3140","","",""
"2016-03-30","000042","202000000031","1.3460","1.3460","","",""
"2016-03-31","000042","202000000031","1.3480","1.3480","","每日","交易日"
"2016-04-01","000042","202000000031","1.3540","1.3540","","每日","交易日"
