"TradingDate","Symbol","FundClassID","NAV","AccumulativeNAV","AnnualizedYield","Frequency","MarketStatus"
"2022-04-06","000042","202000000031","1.8509","2.3397","","",""
"2022-04-07","000042","202000000031","1.8280","2.3168","","",""
"2022-04-08","000042","202000000031","1.8407","2.3295","","",""
"2022-04-11","000042","202000000031","1.7924","2.2812","","",""
"2022-04-12","000042","202000000031","1.8185","2.3073","","",""
"2022-04-13","000042","202000000031","1.7999","2.2887","","",""
"2022-04-14","000042","202000000031","1.8218","2.3106","","",""
"2022-04-15","000042","202000000031","1.8248","2.3136","","",""
"2022-04-18","000042","202000000031","1.8167","2.3055","","",""
"2022-04-19","000042","202000000031","1.8076","2.2964","","",""
"2022-04-20","000042","202000000031","1.7804","2.2692","","",""
"2022-04-21","000042","202000000031","1.7409","2.2297","","",""
"2022-04-22","000042","202000000031","1.7487","2.2375","","",""
"2022-04-25","000042","202000000031","1.6623","2.1511","","",""
"2022-04-26","000042","202000000031","1.6504","2.1392","","",""
"2022-04-27","000042","202000000031","1.6951","2.1839","","",""
"2022-04-28","000042","202000000031","1.7108","2.1996","","",""
"2022-04-29","000042","202000000031","1.7529","2.2417","","",""
"2022-05-05","000042","202000000031","1.7601","2.2489","","",""
"2022-05-06","000042","202000000031","1.7227","2.2115","","",""
"2022-05-09","000042","202000000031","1.7101","2.1989","","",""
"2022-05-10","000042","202000000031","1.7257","2.2145","","",""
"2022-05-11","000042","202000000031","1.7434","2.2322","","",""
"2022-05-12","000042","202000000031","1.7391","2.2279","","",""
"2022-05-13","000042","202000000031","1.7520","2.2408","","",""
"2022-05-16","000042","202000000031","1.7387","2.2275","","",""
"2022-05-17","000042","202000000031","1.7501","2.2389","","",""
"2022-05-18","000042","202000000031","1.7461","2.2349","","",""
"2022-05-19","000042","202000000031","1.7526","2.2414","","",""
"2022-05-20","000042","202000000031","1.7819","2.2707","","",""
"2022-05-23","000042","202000000031","1.7745","2.2633","","",""
"2022-05-24","000042","202000000031","1.7351","2.2239","","",""
"2022-05-25","000042","202000000031","1.7533","2.2421","","",""
"2022-05-26","000042","202000000031","1.7578","2.2466","","",""
"2022-05-27","000042","202000000031","1.7584","2.2472","","",""
"2022-05-30","000042","202000000031","1.7666","2.2554","","",""
"2022-05-31","000042","202000000031","1.7893","2.2781","","",""
"2022-06-01","000042","202000000031","1.7879","2.2767","","",""
"2022-06-02","000042","202000000031","1.7916","2.2804","","",""
"2022-06-06","000042","202000000031","1.8138","2.3026","","",""
"2022-06-07","000042","202000000031","1.8204","2.3092","","",""
"2022-06-08","000042","202000000031","1.8314","2.3202","","",""
"2022-06-09","000042","202000000031","1.8148","2.3036","","",""
"2022-06-10","000042","202000000031","1.8374","2.3262","","",""
"2022-06-13","000042","202000000031","1.8224","2.3112","","",""
"2022-06-14","000042","202000000031","1.8409","2.3297","","",""
"2022-06-15","000042","202000000031","1.8654","2.3542","","",""
"2022-06-16","000042","202000000031","1.8536","2.3424","","",""
"2022-06-17","000042","202000000031","1.8696","2.3584","","",""
"2022-06-20","000042","202000000031","1.8840","2.3728","","",""
"2022-06-21","000042","202000000031","1.8813","2.3701","","",""
"2022-06-22","000042","202000000031","1.8593","2.3481","","",""
"2022-06-23","000042","202000000031","1.8873","2.3761","","",""
"2022-06-24","000042","202000000031","1.9023","2.3911","","",""
"2022-06-27","000042","202000000031","1.9221","2.4109","","",""
"2022-06-28","000042","202000000031","1.9406","2.4294","","",""
"2022-06-29","000042","202000000031","1.9169","2.4057","","",""
"2022-06-30","000042","202000000031","1.9391","2.4279","","",""
"2022-07-01","000042","202000000031","1.9394","2.4282","","",""
"2022-07-04","000042","202000000031","1.9539","2.4427","","",""
"2022-07-05","000042","202000000031","1.9489","2.4377","","",""
"2022-07-06","000042","202000000031","1.9223","2.4111","","",""
"2022-07-07","000042","202000000031","1.9299","2.4187","","",""
"2022-07-08","000042","202000000031","1.9304","2.4192","","",""
"2022-07-11","000042","202000000031","1.9041","2.3929","","",""
"2022-07-12","000042","202000000031","1.8962","2.3850","","",""
"2022-07-13","000042","202000000031","1.8937","2.3825","","",""
"2022-07-14","000042","202000000031","1.8931","2.3819","","",""
"2022-07-15","000042","202000000031","1.8621","2.3509","","",""
"2022-07-18","000042","202000000031","1.8808","2.3696","","",""
"2022-07-19","000042","202000000031","1.8778","2.3666","","",""
"2022-07-20","000042","202000000031","1.8840","2.3728","","",""
"2022-07-21","000042","202000000031","1.8657","2.3545","","",""
"2022-07-22","000042","202000000031","1.8580","2.3468","","",""
"2022-07-25","000042","202000000031","1.8465","2.3353","","",""
"2022-07-26","000042","202000000031","1.8584","2.3472","","",""
"2022-07-27","000042","202000000031","1.8552","2.3440","","",""
"2022-07-28","000042","202000000031","1.8609","2.3497","","",""
"2022-07-29","000042","202000000031","1.8401","2.3289","","",""
"2022-08-01","000042","202000000031","1.8453","2.3341","","",""
"2022-08-02","000042","202000000031","1.8036","2.2924","","",""
"2022-08-03","000042","202000000031","1.7871","2.2759","","",""
"2022-08-04","000042","202000000031","1.7999","2.2887","","",""
"2022-08-05","000042","202000000031","1.8270","2.3158","","",""
"2022-08-08","000042","202000000031","1.8305","2.3193","","",""
"2022-08-09","000042","202000000031","1.8300","2.3188","","",""
"2022-08-10","000042","202000000031","1.8147","2.3035","","",""
"2022-08-11","000042","202000000031","1.8503","2.3391","","",""
"2022-08-12","000042","202000000031","1.8549","2.3437","","",""
"2022-08-15","000042","202000000031","1.8498","2.3386","","",""
"2022-08-16","000042","202000000031","1.8470","2.3358","","",""
"2022-08-17","000042","202000000031","1.8643","2.3531","","",""
"2022-08-18","000042","202000000031","1.8502","2.3390","","",""
"2022-08-19","000042","202000000031","1.8450","2.3338","","",""
"2022-08-22","000042","202000000031","1.8590","2.3478","","",""
"2022-08-23","000042","202000000031","1.8494","2.3382","","",""
"2022-08-24","000042","202000000031","1.8121","2.3009","","",""
"2022-08-25","000042","202000000031","1.8282","2.3170","","",""
"2022-08-26","000042","202000000031","1.8226","2.3114","","",""
"2022-08-29","000042","202000000031","1.8154","2.3042","","",""
"2022-08-30","000042","202000000031","1.8116","2.3004","","",""
"2022-08-31","000042","202000000031","1.8082","2.2970","","",""
"2022-09-01","000042","202000000031","1.8019","2.2907","","",""
"2022-09-02","000042","202000000031","1.7945","2.2833","","",""
"2022-09-05","000042","202000000031","1.7912","2.2800","","",""
"2022-09-06","000042","202000000031","1.8079","2.2967","","",""
"2022-09-07","000042","202000000031","1.8071","2.2959","","",""
"2022-09-08","000042","202000000031","1.8000","2.2888","","",""
"2022-09-09","000042","202000000031","1.8232","2.3120","","",""
"2022-09-13","000042","202000000031","1.8270","2.3158","","",""
"2022-09-14","000042","202000000031","1.8106","2.2994","","",""
"2022-09-15","000042","202000000031","1.7986","2.2874","","",""
"2022-09-16","000042","202000000031","1.7547","2.2435","","",""
"2022-09-19","000042","202000000031","1.7503","2.2391","","",""
"2022-09-20","000042","202000000031","1.7479","2.2367","","",""
"2022-09-21","000042","202000000031","1.7409","2.2297","","",""
"2022-09-22","000042","202000000031","1.7263","2.2151","","",""
"2022-09-23","000042","202000000031","1.7167","2.2055","","",""
"2022-09-26","000042","202000000031","1.6996","2.1884","","",""
"2022-09-27","000042","202000000031","1.7275","2.2163","","",""
"2022-09-28","000042","202000000031","1.6989","2.1877","","",""
"2022-09-29","000042","202000000031","1.6959","2.1847","","",""
"2022-09-30","000042","202000000031","1.6883","2.1771","","",""
"2022-10-10","000042","202000000031","1.6582","2.1470","","",""
"2022-10-11","000042","202000000031","1.6619","2.1507","","",""
"2022-10-12","000042","202000000031","1.6899","2.1787","","",""
"2022-10-13","000042","202000000031","1.6843","2.1731","","",""
"2022-10-14","000042","202000000031","1.7239","2.2127","","",""
"2022-10-17","000042","202000000031","1.7304","2.2192","","",""
"2022-10-18","000042","202000000031","1.7278","2.2166","","",""
"2022-10-19","000042","202000000031","1.6997","2.1885","","",""
"2022-10-20","000042","202000000031","1.6945","2.1833","","",""
"2022-10-21","000042","202000000031","1.6947","2.1835","","",""
"2022-10-24","000042","202000000031","1.6546","2.1434","","",""
"2022-10-25","000042","202000000031","1.6497","2.1385","","",""
"2022-10-26","000042","202000000031","1.6670","2.1558","","",""
"2022-10-27","000042","202000000031","1.6587","2.1475","","",""
"2022-10-28","000042","202000000031","1.6226","2.1114","","",""
"2022-10-31","000042","202000000031","1.6098","2.0986","","",""
"2022-11-01","000042","202000000031","1.6602","2.1490","","",""
"2022-11-02","000042","202000000031","1.6783","2.1671","","",""
"2022-11-03","000042","202000000031","1.6634","2.1522","","",""
"2022-11-04","000042","202000000031","1.7032","2.1920","","",""
"2022-11-07","000042","202000000031","1.7061","2.1949","","",""
"2022-11-08","000042","202000000031","1.6967","2.1855","","",""
"2022-11-09","000042","202000000031","1.6845","2.1733","","",""
"2022-11-10","000042","202000000031","1.6734","2.1622","","",""
"2022-11-11","000042","202000000031","1.7105","2.1993","","",""
"2022-11-14","000042","202000000031","1.7170","2.2058","","",""
"2022-11-15","000042","202000000031","1.7434","2.2322","","",""
"2022-11-16","000042","202000000031","1.7345","2.2233","","",""
"2022-11-17","000042","202000000031","1.7342","2.2230","","",""
"2022-11-18","000042","202000000031","1.7263","2.2151","","",""
"2022-11-21","000042","202000000031","1.7153","2.2041","","",""
"2022-11-22","000042","202000000031","1.7176","2.2064","","",""
"2022-11-23","000042","202000000031","1.7218","2.2106","","",""
"2022-11-24","000042","202000000031","1.7137","2.2025","","",""
"2022-11-25","000042","202000000031","1.7231","2.2119","","",""
"2022-11-28","000042","202000000031","1.7056","2.1944","","",""
"2022-11-29","000042","202000000031","1.7499","2.2387","","",""
"2022-11-30","000042","202000000031","1.7493","2.2381","","",""
"2022-12-01","000042","202000000031","1.7602","2.2490","","",""
"2022-12-02","000042","202000000031","1.7514","2.2402","","",""
"2022-12-05","000042","202000000031","1.7856","2.2744","","",""
"2022-12-06","000042","202000000031","1.7866","2.2754","","",""
"2022-12-07","000042","202000000031","1.7767","2.2655","","",""
"2022-12-08","000042","202000000031","1.7758","2.2646","","",""
"2022-12-09","000042","202000000031","1.7881","2.2769","","",""
"2022-12-12","000042","202000000031","1.7690","2.2578","","",""
"2022-12-13","000042","202000000031","1.7681","2.2569","","",""
"2022-12-14","000042","202000000031","1.7701","2.2589","","",""
"2022-12-15","000042","202000000031","1.7663","2.2551","","",""
"2022-12-16","000042","202000000031","1.7680","2.2568","","",""
"2022-12-19","000042","202000000031","1.7346","2.2234","","",""
"2022-12-20","000042","202000000031","1.7135","2.2023","","",""
"2022-12-21","000042","202000000031","1.7128","2.2016","","",""
"2022-12-22","000042","202000000031","1.7112","2.2000","","",""
"2022-12-23","000042","202000000031","1.7111","2.1999","","",""
"2022-12-26","000042","202000000031","1.7178","2.2066","","",""
"2022-12-27","000042","202000000031","1.7377","2.2265","","",""
"2022-12-28","000042","202000000031","1.7335","2.2223","","",""
"2022-12-29","000042","202000000031","1.7311","2.2199","","",""
"2022-12-30","000042","202000000031","1.7420","2.2308","","",""
"2022-12-31","000042","202000000031","1.7420","2.2308","","",""
"2023-01-03","000042","202000000031","1.7555","2.2443","","",""
"2023-01-04","000042","202000000031","1.7662","2.2550","","",""
"2023-01-05","000042","202000000031","1.7911","2.2799","","",""
"2023-01-06","000042","202000000031","1.7921","2.2809","","",""
"2023-01-09","000042","202000000031","1.7999","2.2887","","",""
"2023-01-10","000042","202000000031","1.7992","2.2880","","",""
"2023-01-11","000042","202000000031","1.7974","2.2862","","",""
"2023-01-12","000042","202000000031","1.7981","2.2869","","",""
"2023-01-13","000042","202000000031","1.8191","2.3079","","",""
"2023-01-16","000042","202000000031","1.8463","2.3351","","",""
"2023-01-17","000042","202000000031","1.8446","2.3334","","",""
"2023-01-18","000042","202000000031","1.8463","2.3351","","",""
"2023-01-19","000042","202000000031","1.8604","2.3492","","",""
"2023-01-20","000042","202000000031","1.8720","2.3608","","",""
"2023-01-30","000042","202000000031","1.8804","2.3692","","",""
"2023-01-31","000042","202000000031","1.8619","2.3507","","",""
