"Bndidxnme","Bndidxcd","Trddt","Pretrdd","Bchmrkdt","Opnidx","Clsindex","Preclsindx","Hiindex","Loindex","Dlbndtrd","Dnvaltrd","Didexvolt","Dperchg","Dretindex"
"中证交易所绿色债券指数","930951","2017-06-19","","2016-12-30","","98.54","","","","0","","","",""
"中证交易所绿色债券指数","930951","2017-06-20","2017-06-19","2016-12-30","","98.70","98.54","","","1","","","","0.1593"
"中证交易所绿色债券指数","930951","2017-06-21","2017-06-20","2016-12-30","","98.76","98.70","","","0","","","","0.0598"
"中证交易所绿色债券指数","930951","2017-06-22","2017-06-21","2016-12-30","","98.82","98.76","","","1","","","","0.0577"
"中证交易所绿色债券指数","930951","2017-06-23","2017-06-22","2016-12-30","","98.85","98.82","","","0","","","","0.0354"
"中证交易所绿色债券指数","930951","2017-06-26","2017-06-23","2016-12-30","","98.92","98.85","","","0","","","","0.0637"
"中证交易所绿色债券指数","930951","2017-06-27","2017-06-26","2016-12-30","","99.09","98.92","","","1","","","","0.1739"
"中证交易所绿色债券指数","930951","2017-06-28","2017-06-27","2016-12-30","","99.10","99.09","","","1","","","","0.0172"
"中证交易所绿色债券指数","930951","2017-06-29","2017-06-28","2016-12-30","","99.21","99.10","","","0","","","","0.1100"
"中证交易所绿色债券指数","930951","2017-06-30","2017-06-29","2016-12-30","","99.26","99.21","","","0","","","","0.0423"
"中证交易所绿色债券指数","930951","2017-07-03","2017-06-30","2016-12-30","","99.29","99.26","","","0","","","","0.0302"
"中证交易所绿色债券指数","930951","2017-07-04","2017-07-03","2016-12-30","","99.30","99.29","","","0","","","","0.0101"
"中证交易所绿色债券指数","930951","2017-07-05","2017-07-04","2016-12-30","","99.31","99.30","","","0","","","","0.0111"
"中证交易所绿色债券指数","930951","2017-07-06","2017-07-05","2016-12-30","","99.40","99.31","","","0","","","","0.0926"
"中证交易所绿色债券指数","930951","2017-07-07","2017-07-06","2016-12-30","","99.46","99.40","","","0","","","","0.0664"
"中证交易所绿色债券指数","930951","2017-07-10","2017-07-07","2016-12-30","","99.53","99.46","","","3","","","","0.0684"
"中证交易所绿色债券指数","930951","2017-07-11","2017-07-10","2016-12-30","","99.54","99.53","","","1","","","","0.0050"
"中证交易所绿色债券指数","930951","2017-07-12","2017-07-11","2016-12-30","","99.58","99.54","","","2","","","","0.0442"
"中证交易所绿色债券指数","930951","2017-07-13","2017-07-12","2016-12-30","","99.58","99.58","","","1","","","","-0.0040"
"中证交易所绿色债券指数","930951","2017-07-14","2017-07-13","2016-12-30","","99.55","99.58","","","0","","","","-0.0271"
"中证交易所绿色债券指数","930951","2017-07-17","2017-07-14","2016-12-30","","99.65","99.55","","","0","","","","0.1035"
"中证交易所绿色债券指数","930951","2017-07-18","2017-07-17","2016-12-30","","99.62","99.65","","","2","","","","-0.0381"
"中证交易所绿色债券指数","930951","2017-07-19","2017-07-18","2016-12-30","","99.63","99.62","","","1","","","","0.0120"
"中证交易所绿色债券指数","930951","2017-07-20","2017-07-19","2016-12-30","","99.65","99.63","","","0","","","","0.0251"
"中证交易所绿色债券指数","930951","2017-07-21","2017-07-20","2016-12-30","","99.65","99.65","","","1","","","","-0.0060"
"中证交易所绿色债券指数","930951","2017-07-24","2017-07-21","2016-12-30","","99.64","99.65","","","1","","","","-0.0060"
"中证交易所绿色债券指数","930951","2017-07-25","2017-07-24","2016-12-30","","99.71","99.64","","","2","","","","0.0652"
"中证交易所绿色债券指数","930951","2017-07-26","2017-07-25","2016-12-30","","99.68","99.71","","","0","","","","-0.0281"
"中证交易所绿色债券指数","930951","2017-07-27","2017-07-26","2016-12-30","","99.71","99.68","","","0","","","","0.0281"
"中证交易所绿色债券指数","930951","2017-07-28","2017-07-27","2016-12-30","","99.74","99.71","","","0","","","","0.0351"
"中证交易所绿色债券指数","930951","2017-07-31","2017-07-28","2016-12-30","","99.79","99.74","","","0","","","","0.0451"
"中证交易所绿色债券指数","930951","2017-08-01","2017-07-31","2016-12-30","","99.79","99.79","","","1","","","","0.0040"
"中证交易所绿色债券指数","930951","2017-08-02","2017-08-01","2016-12-30","","99.79","99.79","","","0","","","","0.0040"
"中证交易所绿色债券指数","930951","2017-08-03","2017-08-02","2016-12-30","","99.80","99.79","","","2","","","","0.0090"
"中证交易所绿色债券指数","930951","2017-08-04","2017-08-03","2016-12-30","","99.84","99.80","","","0","","","","0.0341"
"中证交易所绿色债券指数","930951","2017-08-07","2017-08-04","2016-12-30","","99.86","99.84","","","0","","","","0.0220"
"中证交易所绿色债券指数","930951","2017-08-08","2017-08-07","2016-12-30","","99.77","99.86","","","0","","","","-0.0861"
"中证交易所绿色债券指数","930951","2017-08-09","2017-08-08","2016-12-30","","99.71","99.77","","","0","","","","-0.0672"
"中证交易所绿色债券指数","930951","2017-08-10","2017-08-09","2016-12-30","","99.69","99.71","","","0","","","","-0.0171"
"中证交易所绿色债券指数","930951","2017-08-11","2017-08-10","2016-12-30","","99.72","99.69","","","0","","","","0.0281"
"中证交易所绿色债券指数","930951","2017-08-14","2017-08-11","2016-12-30","","99.79","99.72","","","1","","","","0.0782"
"中证交易所绿色债券指数","930951","2017-08-15","2017-08-14","2016-12-30","","99.83","99.79","","","1","","","","0.0341"
"中证交易所绿色债券指数","930951","2017-08-16","2017-08-15","2016-12-30","","99.87","99.83","","","0","","","","0.0461"
"中证交易所绿色债券指数","930951","2017-08-17","2017-08-16","2016-12-30","","99.87","99.87","","","1","","","","0.0000"
"中证交易所绿色债券指数","930951","2017-08-18","2017-08-17","2016-12-30","","99.87","99.87","","","0","","","","-0.0070"
"中证交易所绿色债券指数","930951","2017-08-21","2017-08-18","2016-12-30","","99.91","99.87","","","0","","","","0.0391"
"中证交易所绿色债券指数","930951","2017-08-22","2017-08-21","2016-12-30","","99.89","99.91","","","0","","","","-0.0170"
"中证交易所绿色债券指数","930951","2017-08-23","2017-08-22","2016-12-30","","99.86","99.89","","","1","","","","-0.0300"
"中证交易所绿色债券指数","930951","2017-08-24","2017-08-23","2016-12-30","","99.74","99.86","","","3","","","","-0.1212"
"中证交易所绿色债券指数","930951","2017-08-25","2017-08-24","2016-12-30","","99.70","99.74","","","2","","","","-0.0381"
"中证交易所绿色债券指数","930951","2017-08-28","2017-08-25","2016-12-30","","99.68","99.70","","","2","","","","-0.0201"
"中证交易所绿色债券指数","930951","2017-08-29","2017-08-28","2016-12-30","","99.65","99.68","","","1","","","","-0.0271"
"中证交易所绿色债券指数","930951","2017-08-30","2017-08-29","2016-12-30","","99.62","99.65","","","2","","","","-0.0341"
"中证交易所绿色债券指数","930951","2017-08-31","2017-08-30","2016-12-30","","99.59","99.62","","","3","","","","-0.0271"
"中证交易所绿色债券指数","930951","2017-09-01","2017-08-31","2016-12-30","","99.60","99.59","","","3","","","","0.0070"
"中证交易所绿色债券指数","930951","2017-09-04","2017-09-01","2016-12-30","","99.64","99.60","","","3","","","","0.0432"
