类别：所有类别

月份,gas price: (全球)
2015-01,23
2015-02,17
2015-03,14
2015-04,13
2015-05,13
2015-06,13
2015-07,14
2015-08,18
2015-09,16
2015-10,15
2015-11,14
2015-12,15
2016-01,19
2016-02,16
2016-03,14
2016-04,13
2016-05,13
2016-06,14
2016-07,14
2016-08,12
2016-09,14
2016-10,14
2016-11,14
2016-12,15
2017-01,16
2017-02,15
2017-03,15
2017-04,16
2017-05,14
2017-06,15
2017-07,15
2017-08,18
2017-09,20
2017-10,18
2017-11,20
2017-12,20
2018-01,21
2018-02,18
2018-03,18
2018-04,21
2018-05,23
2018-06,20
2018-07,21
2018-08,19
2018-09,20
2018-10,22
2018-11,27
2018-12,25
2019-01,24
2019-02,20
2019-03,22
2019-04,25
2019-05,22
2019-06,23
2019-07,23
2019-08,23
2019-09,24
2019-10,23
2019-11,25
2019-12,23
2020-01,25
2020-02,28
2020-03,36
2020-04,34
2020-05,28
2020-06,27
2020-07,25
2020-08,23
2020-09,24
2020-10,23
2020-11,25
2020-12,29
2021-01,28
2021-02,37
2021-03,38
2021-04,32
2021-05,37
2021-06,38
2021-07,36
2021-08,33
2021-09,35
2021-10,45
2021-11,42
2021-12,35
2022-01,36
2022-02,45
2022-03,100
2022-04,54
2022-05,68
2022-06,84
2022-07,68
2022-08,58
2022-09,55
2022-10,54
2022-11,44
2022-12,47
2023-01,50
2023-02,58
2023-03,52
2023-04,47
2023-05,46
2023-06,47
2023-07,45
2023-08,51
2023-09,53
2023-10,48
2023-11,40
2023-12,50
2024-01,43
2024-02,38
2024-03,41
2024-04,40
2024-05,37
2024-06,38
2024-07,36
2024-08,35
2024-09,34
2024-10,32
2024-11,33
2024-12,31
2025-01,33
2025-02,30
2025-03,31
2025-04,36
2025-05,33
2025-06,35
2025-07,39
2025-08,99
2025-09,91
2025-10,79
2025-11,79
2025-12,76
