feature,spearman_corr_with_return,spearman_pvalue,abs_spearman_corr,rf_importance
WTI_Futures,-0.15439821477073454,4.58636253961366e-05,0.15439821477073454,0.028120343486713394
RSI_14,-0.09139882325038666,0.016249099481048374,0.09139882325038666,0.019346880622635947
WTI_Futures_RollRet_60,-0.08783634216675382,0.020930952218348797,0.08783634216675382,0.025463450145953102
MACD,-0.07819265902298556,0.0398918979125459,0.07819265902298556,0.01982588642870334
WTI_Futures_Momentum_20d,-0.06741516516564985,0.076570525310842,0.06741516516564985,0.014457869487892502
WTI_Futures_RollRet_20,-0.06741516516564985,0.076570525310842,0.06741516516564985,0.012148472529093509
WTI_Futures_RollRet_5,-0.056818323063439896,0.13567875264613335,0.056818323063439896,0.013601517444979642
WTI_Futures_Momentum_5d,-0.056818323063439896,0.13567875264613335,0.056818323063439896,0.01322317188536937
DXY_Change,0.055343421046890745,0.14614440343056592,0.055343421046890745,0.021171942430641702
WTI_Futures_Momentum_3d,-0.05480525803536382,0.15011295041530115,0.05480525803536382,0.026424525456100276
DXY_Return,0.054348243854018825,0.15354702834679856,0.054348243854018825,0.018561742794557034
MACD_Signal,-0.05257735308026384,0.1674182178819602,0.05257735308026384,0.020293540877099944
Oil_Dollar_Correlation_60,-0.049664920908892206,0.1922414625848676,0.049664920908892206,0.046299031931918644
US10Y_Change,0.04951540639337477,0.193585038813244,0.04951540639337477,0.013215952937976507
RSI_28,-0.04906524716403196,0.19767181017387347,0.04906524716403196,0.024997428460504317
US10Y_Return,0.0480835512833292,0.20680188136171282,0.0480835512833292,0.028411441327474203
VIX_MA_5,-0.04483011263352488,0.2392346532504009,0.04483011263352488,0.02651821547027231
Oil_Dollar_Correlation_20,-0.04350235744266547,0.2534492367052065,0.04350235744266547,0.02580364151485053
WTI_Futures_Acceleration,0.039943134429183826,0.2944093060042226,0.039943134429183826,0.02772269853438792
Stocks_Z_20,-0.03888867930478035,0.3073504462760811,0.03888867930478035,0.029740636500355147
DXY_Momentum_5,-0.03597637695521907,0.34501627197705853,0.03597637695521907,0.025797839669559057
VIX_Level,-0.03349281648435404,0.3793610109866722,0.03349281648435404,0.015699911064605433
VIX,-0.031564470471723484,0.40742383521696335,0.031564470471723484,0.02620212283772996
DXY_Momentum_20,-0.030991268677323384,0.41599782854575107,0.030991268677323384,0.0240393125788237
OVX_VIX_Ratio,0.023597185644211916,0.5357453835380395,0.023597185644211916,0.02253341793210738
Volatility_5d,-0.023523298970916942,0.5370236679773785,0.023523298970916942,0.029157702434454202
Volatility_Change_20d,0.019121389987050055,0.6158240307599864,0.019121389987050055,0.024399189631603247
GeoEvent_DaysSinceLast,-0.018808782047059328,0.6216079901154345,0.018808782047059328,0.026573848420424585
Volatility_Change_60d,0.016282589681644203,0.6691813198738328,0.016282589681644203,0.02573460637655789
SP500_Return,0.014239973707113591,0.7086530450238144,0.014239973707113591,0.033543729049301745
WTI_Futures_Change,-0.011859509361732731,0.755651613296652,0.011859509361732731,0.014492589886710705
WTI_Futures_Return,-0.01150346545322415,0.7627643402100424,0.01150346545322415,0.023666548775376803
VIX_Change,0.009895138929187712,0.7951355023921907,0.009895138929187712,0.02968956101318339
Volatility_20d,0.009522642467090503,0.8026855530178765,0.009522642467090503,0.021431576237746924
OVX_Return,-0.005317242972584578,0.8890379485257799,0.005317242972584578,0.01930210770713728
WTI_Futures_Std_10,0.004367375332920967,0.9087642713373953,0.004367375332920967,0.02116920142393627
OVX_VIX_Spread,0.004091044500451272,0.9145140642917097,0.004091044500451272,0.023592188282107726
OVX,-0.0026440403948729415,0.9446888547977352,0.0026440403948729415,0.02563432957708145
WTI_Futures_Std_5,-0.0023287964537700083,0.9512747578486888,0.0023287964537700083,0.019447819337637104
OVX_Change,-0.0015399087486059895,0.9677693419775072,0.0015399087486059895,0.019456557385547853
WTI_Futures_Std_60,0.0007092590853043719,0.9851518623751281,0.0007092590853043719,0.02640380176570194
WTI_Futures_Momentum_1d,-0.0007081679927525438,0.9851747014628564,0.0007081679927525438,0.024196391351882944
Volatility_Change_10d,0.0006685606125873013,0.9860037834890266,0.0006685606125873013,0.022487256993303163
