Date_target,Actual_Return,Pred_Return,RiskLevel,Signal,TrueDirection,PredDirection
2023-03-30,0.018074148582498593,-0.009604352,LOW,SHORT,UP,DOWN
2023-03-31,0.017001058060870593,-0.009365711,LOW,SHORT,UP,DOWN
2023-04-03,0.05604559594105038,-0.009740694,LOW,SHORT,UP,DOWN
2023-04-04,0.0,-0.010157966,MEDIUM,SHORT,FLAT,DOWN
2023-04-05,-0.0004269985186173289,-0.010040665,MEDIUM,SHORT,DOWN,DOWN
2023-04-06,0.00028475832877019545,-0.010305209,MEDIUM,SHORT,UP,DOWN
2023-04-10,-0.007141867019033599,-0.010863836,MEDIUM,SHORT,DOWN,DOWN
2023-04-11,0.0186044923214934,-0.011115371,MEDIUM,SHORT,UP,DOWN
2023-04-12,0.018955279875836988,-0.011078092,MEDIUM,SHORT,UP,DOWN
2023-04-13,-0.00873606386285562,-0.010230281,MEDIUM,SHORT,DOWN,DOWN
2023-04-14,0.004030769059586438,-0.009245094,LOW,SHORT,UP,DOWN
2023-04-17,-0.01749152639822538,-0.008562808,LOW,SHORT,DOWN,DOWN
2023-04-18,-0.0015539027099905924,-0.007920666,LOW,SHORT,DOWN,DOWN
2023-04-19,-0.020424908276372868,-0.0077079386,LOW,SHORT,DOWN,DOWN
2023-04-20,-0.024836989756020837,-0.007563505,LOW,SHORT,DOWN,DOWN
2023-04-21,0.00898320776769644,-0.007802639,LOW,SHORT,UP,DOWN
2023-04-24,0.015131976823006441,-0.008044953,LOW,SHORT,UP,DOWN
2023-04-25,-0.02381930716981419,-0.007941716,LOW,SHORT,DOWN,DOWN
2023-04-26,-0.033993378007582085,-0.008571494,LOW,SHORT,DOWN,DOWN
2023-04-27,0.006861305480174958,-0.009013129,LOW,SHORT,UP,DOWN
2023-04-28,0.025355832508257625,-0.009383789,LOW,SHORT,UP,DOWN
2023-05-01,-0.014174007180748318,-0.0097779175,LOW,SHORT,DOWN,DOWN
2023-05-02,-0.054025540387353785,-0.009320659,LOW,SHORT,DOWN,DOWN
2023-05-03,-0.044430100076951085,-0.009375257,LOW,SHORT,DOWN,DOWN
2023-05-04,0.006445760401040478,-0.010386082,MEDIUM,SHORT,UP,DOWN
2023-05-05,0.037667073523529444,-0.011565044,HIGH,SHORT,UP,DOWN
2023-05-08,0.01932660277326006,-0.012235005,HIGH,SHORT,UP,DOWN
2023-05-09,0.009447922633489923,-0.011836838,HIGH,SHORT,UP,DOWN
2023-05-10,-0.007426977493639411,-0.0114281885,HIGH,SHORT,DOWN,DOWN
2023-05-11,-0.017863204463481844,-0.011833112,HIGH,SHORT,DOWN,DOWN
2023-05-12,-0.01883235209870723,-0.0124631785,HIGH,SHORT,DOWN,DOWN
2023-05-15,0.014713234771474664,-0.012732402,HIGH,SHORT,UP,DOWN
2023-05-16,-0.007169643611633441,-0.012659616,HIGH,SHORT,DOWN,DOWN
2023-05-17,0.03240802049937566,-0.01224511,HIGH,SHORT,UP,DOWN
2023-05-18,-0.008706484743445873,-0.011549577,HIGH,SHORT,DOWN,DOWN
2023-05-19,-0.0021885171620354663,-0.010536554,MEDIUM,SHORT,DOWN,DOWN
