feature,spearman_corr_with_return,spearman_pvalue,abs_spearman_corr,rf_importance
WTI_Futures,-0.16229699435428294,0.003109394137343167,0.16229699435428294,0.030635622222464232
RSI_14,-0.1601746205345092,0.003528096597676466,0.1601746205345092,0.018590224278402352
WTI_Futures_vs_MA_10,-0.1310413569203824,0.017231494150878362,0.1310413569203824,0.018842623724389166
WTI_Futures_RollRet_5,-0.10259665127570251,0.06265894234935201,0.10259665127570251,0.016053351382946886
WTI_Futures_Momentum_5d,-0.10259665127570251,0.06265894234935201,0.10259665127570251,0.014219979190739989
MACD,-0.0895386801281254,0.10445230453237347,0.0895386801281254,0.037124145140072444
WTI_Spot,-0.08162383822595827,0.1389762395239294,0.08162383822595827,0.026691001555751964
OVX_Return,-0.07478706290816595,0.1753162474410906,0.07478706290816595,0.02397633271095224
WTI_Futures_Acceleration,0.07396712025191794,0.18010959138661112,0.07396712025191794,0.022825259145460065
OVX_Change,-0.06837502808118986,0.2154080096934649,0.06837502808118986,0.021584130810922485
RSI_28,-0.06442033146813554,0.24320008383072927,0.06442033146813554,0.027313553795287094
WTI_Futures_RollRet_60,-0.05761293404742541,0.29672298804881864,0.05761293404742541,0.007576441744498971
WTI_Futures_Std_5,0.05713701352963421,0.3007377829161108,0.05713701352963421,0.03284268506704708
WTI_Futures_Momentum_3d,-0.05189045061771166,0.3473749390347485,0.05189045061771166,0.03373230732092013
Volatility_Change_10d,0.05174085411920469,0.3487685784027399,0.05174085411920469,0.027523613960718542
Stocks_Z_20,-0.046576435713158726,0.3990326011312306,0.046576435713158726,0.03686269966140092
Volatility_5d,0.045954007424727994,0.405370543249596,0.045954007424727994,0.032517634730214566
WTI_Futures_RollRet_20,-0.040486055051845375,0.46357333087617025,0.040486055051845375,0.01300675136951988
WTI_Futures_Momentum_20d,-0.040486055051845375,0.46357333087617025,0.040486055051845375,0.011332415846952375
GeoEvent_DaysSinceLast,-0.04035246611279645,0.4650509790579139,0.04035246611279645,0.020920757108184057
DXY_Change,0.03950570576004011,0.4744775038675173,0.03950570576004011,0.01640949056487228
DXY_Return,0.03919885598563591,0.47791910860024267,0.03919885598563591,0.018354263026993816
VIX_MA_5,-0.03744255307923979,0.49787660227425135,0.03744255307923979,0.04084953046483189
Basis_Change,-0.028287452583222978,0.6086372198164227,0.028287452583222978,0.025364278704181308
MACD_Signal,-0.02289177043949815,0.6786353588702152,0.02289177043949815,0.032942125556709896
Basis_Pct,-0.017254854164284003,0.7548248064863271,0.017254854164284003,0.02563974166179263
VIX,-0.015786652045417196,0.7751014699258711,0.015786652045417196,0.02464940059830896
OVX_VIX_Ratio,0.010936406539871974,0.8431062800545049,0.010936406539871974,0.02635494928630118
VIX_Level,-0.010376953452938521,0.851036188109493,0.010376953452938521,0.016158340746938702
OVX_VIX_Spread,0.009268816206134517,0.8667869552389935,0.009268816206134517,0.02238442437303115
VIX_Change,-0.005524927833074893,0.9203560550962793,0.005524927833074893,0.022022412338630778
OVX,-0.005473807409979391,0.9210905680402204,0.005473807409979391,0.025574677437303288
SP500,-0.004251979941380211,0.9386646670564713,0.004251979941380211,0.018752271632388386
WTI_Futures_Std_10,-0.0042119094507087045,0.9392415700641106,0.0042119094507087045,0.02496320570734021
US10Y_Return,-0.0036400389042293285,0.9474782210209942,0.0036400389042293285,0.028180715884169434
US10Y_Change,-0.0025589356312051017,0.9630639171744229,0.0025589356312051017,0.011895040451011439
VIX_Return,0.0010708840419912248,0.9845381536297644,0.0010708840419912248,0.019542398366217
WTI_Futures_Change,0.001005775109269925,0.9854781154147975,0.001005775109269925,0.016049709992520887
WTI_Futures_Momentum_1d,0.0007314534151327878,0.9894386359248616,0.0007314534151327878,0.028041327099550126
WTI_Futures_Return,0.00041790182562825097,0.9939658498295794,0.00041790182562825097,0.021626249685897478
Volatility_20d,-0.00030704013477041695,0.9955665798564193,0.00030704013477041695,0.03264082518581842
SP500_Return,0.0002476022402743493,0.9964248103047411,0.0002476022402743493,0.0274330904683453
