feature,spearman_corr_with_return,spearman_pvalue,abs_spearman_corr,rf_importance
WTI_Futures,-0.16229699435428294,0.003109394137343167,0.16229699435428294,0.03590011451327849
RSI_14,-0.1601746205345092,0.003528096597676466,0.1601746205345092,0.02997010221978118
WTI_Futures_RollRet_5,-0.10259665127570251,0.06265894234935201,0.10259665127570251,0.021895679996513765
WTI_Futures_Momentum_5d,-0.10259665127570251,0.06265894234935201,0.10259665127570251,0.02131227632446127
MACD,-0.0895386801281254,0.10445230453237347,0.0895386801281254,0.024281327881228935
WTI_Spot,-0.08162383822595827,0.1389762395239294,0.08162383822595827,0.027700991100209897
OVX_Return,-0.07478706290816595,0.1753162474410906,0.07478706290816595,0.02787523889967627
WTI_Futures_Acceleration,0.07396712025191794,0.18010959138661112,0.07396712025191794,0.03775057496601422
OVX_Change,-0.06837502808118986,0.2154080096934649,0.06837502808118986,0.028589090814079537
WTI_Futures_RollRet_60,-0.05761293404742541,0.29672298804881864,0.05761293404742541,0.009217273640070571
WTI_Futures_Momentum_3d,-0.05189045061771166,0.3473749390347485,0.05189045061771166,0.0318116618509063
Volatility_5d,0.045954007424727994,0.405370543249596,0.045954007424727994,0.04709555563547117
WTI_Futures_Momentum_20d,-0.040486055051845375,0.46357333087617025,0.040486055051845375,0.019144150639151442
WTI_Futures_RollRet_20,-0.040486055051845375,0.46357333087617025,0.040486055051845375,0.017908235019701384
GeoEvent_DaysSinceLast,-0.04035246611279645,0.4650509790579139,0.04035246611279645,0.0365729022344508
DXY_Return,0.03919885598563591,0.47791910860024267,0.03919885598563591,0.04363852367588707
Basis_Change,-0.028287452583222978,0.6086372198164227,0.028287452583222978,0.037615426759923444
MACD_Signal,-0.02289177043949815,0.6786353588702152,0.02289177043949815,0.04003458859127959
Basis_Pct,-0.017254854164284003,0.7548248064863271,0.017254854164284003,0.044565251420808326
VIX,-0.015786652045417196,0.7751014699258711,0.015786652045417196,0.03591844209091031
VIX_Level,-0.010376953452938521,0.851036188109493,0.010376953452938521,0.03599038916506033
VIX_Change,-0.005524927833074893,0.9203560550962793,0.005524927833074893,0.03998343581418167
OVX,-0.005473807409979391,0.9210905680402204,0.005473807409979391,0.03355013488059636
Stocks_Std_20,-0.004985937762179968,0.9281037019417324,0.004985937762179968,0.0390563493687694
WTI_Futures_Std_10,-0.0042119094507087045,0.9392415700641106,0.0042119094507087045,0.039258538603485035
US10Y_Return,-0.0036400389042293285,0.9474782210209942,0.0036400389042293285,0.033633727584701956
WTI_Futures_Change,0.001005775109269925,0.9854781154147975,0.001005775109269925,0.017712844484802644
WTI_Futures_Momentum_1d,0.0007314534151327878,0.9894386359248616,0.0007314534151327878,0.04010208962684718
WTI_Futures_Return,0.00041790182562825097,0.9939658498295794,0.00041790182562825097,0.028660821803099628
Volatility_20d,-0.00030704013477041695,0.9955665798564193,0.00030704013477041695,0.039435377354947745
SP500_Return,0.0002476022402743493,0.9964248103047411,0.0002476022402743493,0.03381888303970424
