Date_target,Actual_Return,Pred_Return,RiskLevel,Signal,TrueDirection,PredDirection
2023-05-31,-0.027171575846606393,0.0055505387,LOW,LONG,DOWN,UP
2023-06-01,0.03117638701506476,0.005794446,LOW,LONG,UP,UP
2023-06-02,0.025257890132107705,0.006881577,LOW,LONG,UP,UP
2023-06-05,-0.0018724103815936021,0.004842007,LOW,FLAT,DOWN,UP
2023-06-06,-0.0037552518600890913,0.008408495,LOW,LONG,DOWN,UP
2023-06-07,0.014319282314944294,0.009135971,LOW,LONG,UP,UP
2023-06-08,-0.01950596319280785,0.009770495,LOW,LONG,DOWN,UP
2023-06-09,-0.00838676933991773,0.010925054,MEDIUM,LONG,DOWN,UP
2023-06-12,-0.04368639103365808,0.009582467,LOW,LONG,DOWN,UP
2023-06-13,0.03105328278806812,0.008192222,LOW,LONG,UP,UP
2023-06-14,-0.005001180957882786,0.008643468,LOW,LONG,DOWN,UP
2023-06-15,0.025232862120753194,0.0061456496,LOW,LONG,UP,UP
2023-06-16,0.014715335024382634,0.009845558,LOW,LONG,UP,UP
2023-08-03,0.1280384940463054,0.0062508197,LOW,LONG,UP,UP
2023-08-04,0.008847829101217144,0.0058895485,LOW,LONG,UP,UP
2023-08-07,0.00040645999032376225,0.007526913,LOW,LONG,UP,UP
2023-08-08,0.0032458490524185546,0.004139545,LOW,FLAT,UP,UP
2023-08-09,0.013944995931908974,0.0029441714,LOW,FLAT,UP,UP
2023-08-10,-0.012056429407605004,0.002890496,LOW,FLAT,DOWN,UP
2023-08-11,0.0006736686382865583,0.0029672326,LOW,FLAT,UP,UP
2023-08-14,-0.005943586977752165,0.0023024415,LOW,FLAT,DOWN,UP
2023-08-15,-0.01625378689757854,0.0028997539,LOW,FLAT,DOWN,UP
2023-08-16,-0.017362752340797996,0.003846855,LOW,FLAT,DOWN,UP
2023-08-17,0.008510697821235626,0.0030537883,LOW,FLAT,UP,UP
2023-08-18,0.011190246419903169,0.0036312006,LOW,FLAT,UP,UP
2023-08-21,-0.002889168694806413,0.0035578322,LOW,FLAT,DOWN,UP
2023-08-22,-0.004141978177517621,0.0032631755,LOW,FLAT,DOWN,UP
2023-08-23,-0.012809952010608331,0.003833919,LOW,FLAT,DOWN,UP
2023-08-24,0.0007004700189953696,0.00505775,LOW,LONG,UP,UP
2023-08-25,0.014458659800547261,0.0035051536,LOW,FLAT,UP,UP
2023-08-28,-0.0005521646690655364,0.0034013786,LOW,FLAT,DOWN,UP
2023-08-29,0.012488956833895738,0.005294097,LOW,LONG,UP,UP
2023-08-30,0.0046265419240497365,0.007312613,LOW,LONG,UP,UP
2023-08-31,0.0188278004475025,0.0068841903,LOW,LONG,UP,UP
2023-09-01,0.02447813573510389,0.005166781,LOW,LONG,UP,UP
2023-10-04,-0.01744194605883999,0.004412485,LOW,FLAT,DOWN,UP
2023-10-05,-0.02139403079149734,0.0061136233,LOW,LONG,DOWN,UP
2023-10-06,0.002295050573214618,0.008309051,LOW,LONG,UP,UP
2023-10-11,0.02015678586974237,0.0073846234,LOW,LONG,UP,UP
2023-10-12,-0.0033092889564296495,0.00586202,LOW,LONG,DOWN,UP
2023-10-13,0.04624876757990632,0.004864428,LOW,FLAT,UP,UP
2023-10-16,-0.0076248747174708295,0.010083721,MEDIUM,LONG,DOWN,UP
2023-10-17,0.0052166751771825426,0.010159213,MEDIUM,LONG,UP,UP
2023-10-18,0.013111550543380405,0.011402185,MEDIUM,LONG,UP,UP
2023-10-19,0.02278459145754226,0.010259677,MEDIUM,LONG,UP,UP
2023-10-20,-0.012070640132825968,0.012307712,MEDIUM,LONG,DOWN,UP
2023-10-23,-0.022684068089564084,0.013285234,MEDIUM,LONG,DOWN,UP
2023-10-24,-0.025158547932485016,0.011386112,MEDIUM,LONG,DOWN,UP
2023-10-25,0.019693007674920365,0.007580289,LOW,LONG,UP,UP
2023-10-26,-0.02021310800658612,0.005636053,LOW,LONG,DOWN,UP
2023-10-27,0.018937779759304663,0.007374998,LOW,LONG,UP,UP
2023-10-30,-0.02992254203180154,0.00800774,LOW,LONG,DOWN,UP
2023-10-31,-0.013636358927050672,0.0068697473,LOW,LONG,DOWN,UP
2023-11-01,-0.003605487635762514,0.0071612424,LOW,LONG,DOWN,UP
2023-11-02,0.018949752785645084,0.008530633,LOW,LONG,UP,UP
2023-11-03,-0.0176128745766275,0.009842767,LOW,LONG,DOWN,UP
2023-11-06,0.0008013513667661236,0.00954509,LOW,LONG,UP,UP
2023-11-07,-0.04240292328881122,0.006307411,LOW,LONG,DOWN,UP
2023-11-08,-0.022678633032617218,0.006578772,LOW,LONG,DOWN,UP
2023-11-09,0.0008544226887040801,0.011474233,MEDIUM,LONG,UP,UP
2023-11-14,0.03414354886923729,0.011705994,MEDIUM,LONG,UP,UP
2023-11-15,-0.0187467284855328,0.016610919,HIGH,LONG,DOWN,UP
2023-11-16,-0.047214354654269194,0.0120563125,MEDIUM,LONG,DOWN,UP
2023-11-17,0.03890976258005652,0.013599651,MEDIUM,LONG,UP,UP
2023-11-20,0.021671634851022643,0.017496753,HIGH,LONG,UP,UP
2023-11-21,0.003176081170630913,0.016988544,HIGH,LONG,UP,UP
2023-11-22,-0.012765515002879542,0.017334059,HIGH,LONG,DOWN,UP
2023-12-26,-0.01974399955280629,0.016613437,HIGH,LONG,DOWN,UP
2023-12-27,-0.018544352897414122,0.016393945,HIGH,LONG,DOWN,UP
