feature,spearman_corr_with_return,spearman_pvalue,abs_spearman_corr,rf_importance
WTI_Futures,-0.16229699435428294,0.003109394137343167,0.16229699435428294,0.030072908733412448
RSI_14,-0.1601746205345092,0.003528096597676466,0.1601746205345092,0.016761476525323987
MACD_Histogram,-0.13250526551291478,0.01601499649289357,0.13250526551291478,0.018014259958281972
WTI_Futures_Momentum_5d,-0.10259665127570251,0.06265894234935201,0.10259665127570251,0.014366847952504294
WTI_Futures_RollRet_5,-0.10259665127570251,0.06265894234935201,0.10259665127570251,0.01320200119259466
MACD,-0.0895386801281254,0.10445230453237347,0.0895386801281254,0.027482329646786784
WTI_Spot,-0.08162383822595827,0.1389762395239294,0.08162383822595827,0.07192562946202623
OVX_Return,-0.07478706290816595,0.1753162474410906,0.07478706290816595,0.021829221170022665
WTI_Futures_Acceleration,0.07396712025191794,0.18010959138661112,0.07396712025191794,0.01847766687374098
OVX_Change,-0.06837502808118986,0.2154080096934649,0.06837502808118986,0.04240996324160267
WTI_Futures_RollRet_60,-0.05761293404742541,0.29672298804881864,0.05761293404742541,0.009967317229054024
WTI_Futures_Std_5,0.05713701352963421,0.3007377829161108,0.05713701352963421,0.01826233547048928
WTI_Futures_Momentum_3d,-0.05189045061771166,0.3473749390347485,0.05189045061771166,0.032000782869822726
Volatility_Change_10d,0.05174085411920469,0.3487685784027399,0.05174085411920469,0.026217521106266246
Stocks_Z_20,-0.046576435713158726,0.3990326011312306,0.046576435713158726,0.031656661140672546
Volatility_5d,0.045954007424727994,0.405370543249596,0.045954007424727994,0.03166573609355037
WTI_Futures_Momentum_20d,-0.040486055051845375,0.46357333087617025,0.040486055051845375,0.011670558610298105
WTI_Futures_RollRet_20,-0.040486055051845375,0.46357333087617025,0.040486055051845375,0.011182838364889968
GeoEvent_DaysSinceLast,-0.04035246611279645,0.4650509790579139,0.04035246611279645,0.019529295888672867
DXY_Return,0.03919885598563591,0.47791910860024267,0.03919885598563591,0.029782410250230158
Basis_Change,-0.028287452583222978,0.6086372198164227,0.028287452583222978,0.13180843734374595
MACD_Signal,-0.02289177043949815,0.6786353588702152,0.02289177043949815,0.03134600821791754
Basis_Pct,-0.017254854164284003,0.7548248064863271,0.017254854164284003,0.03843079381059251
VIX,-0.015786652045417196,0.7751014699258711,0.015786652045417196,0.020126246032453724
OVX_VIX_Ratio,0.010936406539871974,0.8431062800545049,0.010936406539871974,0.024032667580937875
VIX_Level,-0.010376953452938521,0.851036188109493,0.010376953452938521,0.014052909688930169
VIX_Change,-0.005524927833074893,0.9203560550962793,0.005524927833074893,0.0185082766101551
OVX,-0.005473807409979391,0.9210905680402204,0.005473807409979391,0.018739227100010438
Stocks_Std_20,-0.004985937762179968,0.9281037019417324,0.004985937762179968,0.021511375763055226
WTI_Futures_Std_10,-0.0042119094507087045,0.9392415700641106,0.0042119094507087045,0.01893980822147154
US10Y_Return,-0.0036400389042293285,0.9474782210209942,0.0036400389042293285,0.02638285829171377
VIX_Return,0.0010708840419912248,0.9845381536297644,0.0010708840419912248,0.017962889579330996
WTI_Futures_Change,0.001005775109269925,0.9854781154147975,0.001005775109269925,0.015895211258939623
WTI_Futures_Momentum_1d,0.0007314534151327878,0.9894386359248616,0.0007314534151327878,0.031039518039716305
WTI_Futures_Return,0.00041790182562825097,0.9939658498295794,0.00041790182562825097,0.025328756551018614
Volatility_20d,-0.00030704013477041695,0.9955665798564193,0.00030704013477041695,0.026567779211486953
SP500_Return,0.0002476022402743493,0.9964248103047411,0.0002476022402743493,0.022849474918280842
