Date_target,Actual_Return,Pred_Return,RiskLevel,Signal,TrueDirection,PredDirection
2023-05-31,-0.027171575846606393,-0.006635396755012682,MEDIUM,SHORT,DOWN,DOWN
2023-06-01,0.03117638701506476,-0.00716513639695722,HIGH,SHORT,UP,DOWN
2023-06-02,0.025257890132107705,-0.006986668096801495,MEDIUM,SHORT,UP,DOWN
2023-06-05,-0.0018724103815936021,-0.005791395598555096,LOW,SHORT,DOWN,DOWN
2023-06-06,-0.0037552518600890913,-0.0065885608363772,MEDIUM,SHORT,DOWN,DOWN
2023-06-07,0.014319282314944294,-0.006931347341088071,MEDIUM,SHORT,UP,DOWN
2023-06-08,-0.01950596319280785,-0.006773885126796305,MEDIUM,SHORT,DOWN,DOWN
2023-06-09,-0.00838676933991773,-0.0073542706976327775,HIGH,SHORT,DOWN,DOWN
2023-06-12,-0.04368639103365808,-0.007190265401082864,HIGH,SHORT,DOWN,DOWN
2023-06-13,0.03105328278806812,-0.007310825847601194,HIGH,SHORT,UP,DOWN
2023-06-14,-0.005001180957882786,-0.0071984054691397684,HIGH,SHORT,DOWN,DOWN
2023-06-15,0.025232862120753194,-0.006801787605336677,MEDIUM,SHORT,UP,DOWN
2023-06-16,0.014715335024382634,-0.007751012659446394,HIGH,SHORT,UP,DOWN
2023-08-03,0.1280384940463054,-0.006389995626549393,MEDIUM,SHORT,UP,DOWN
2023-08-04,0.008847829101217144,-0.005861137796030634,MEDIUM,SHORT,UP,DOWN
2023-08-07,0.00040645999032376225,-0.006744736250092572,MEDIUM,SHORT,UP,DOWN
2023-08-08,0.0032458490524185546,-0.007079138099239834,HIGH,SHORT,UP,DOWN
2023-08-09,0.013944995931908974,-0.007252030551829705,HIGH,SHORT,UP,DOWN
2023-08-10,-0.012056429407605004,-0.007319766866220498,HIGH,SHORT,DOWN,DOWN
2023-08-11,0.0006736686382865583,-0.007857145991034487,HIGH,SHORT,UP,DOWN
2023-08-14,-0.005943586977752165,-0.0075888173858216605,HIGH,SHORT,DOWN,DOWN
2023-08-15,-0.01625378689757854,-0.00759487499925037,HIGH,SHORT,DOWN,DOWN
2023-08-16,-0.017362752340797996,-0.008204499989020795,HIGH,SHORT,DOWN,DOWN
2023-08-17,0.008510697821235626,-0.008401207980650983,HIGH,SHORT,UP,DOWN
2023-08-18,0.011190246419903169,-0.008329785891591428,HIGH,SHORT,UP,DOWN
2023-08-21,-0.002889168694806413,-0.008178324957978845,HIGH,SHORT,DOWN,DOWN
2023-08-22,-0.004141978177517621,-0.008345855616023804,HIGH,SHORT,DOWN,DOWN
2023-08-23,-0.012809952010608331,-0.008251385820194898,HIGH,SHORT,DOWN,DOWN
2023-08-24,0.0007004700189953696,-0.008493378080346562,HIGH,SHORT,UP,DOWN
2023-08-25,0.014458659800547261,-0.0075681290235847555,HIGH,SHORT,UP,DOWN
2023-08-28,-0.0005521646690655364,-0.006719215802663219,MEDIUM,SHORT,DOWN,DOWN
2023-08-29,0.012488956833895738,-0.0071371210092047825,HIGH,SHORT,UP,DOWN
2023-08-30,0.0046265419240497365,-0.007739889177761354,HIGH,SHORT,UP,DOWN
2023-08-31,0.0188278004475025,-0.007819635467590187,HIGH,SHORT,UP,DOWN
2023-09-01,0.02447813573510389,-0.006994183378773344,MEDIUM,SHORT,UP,DOWN
2023-10-04,-0.01744194605883999,-0.006020046147556338,MEDIUM,SHORT,DOWN,DOWN
2023-10-05,-0.02139403079149734,-0.00695527845423088,MEDIUM,SHORT,DOWN,DOWN
2023-10-06,0.002295050573214618,-0.0081187843302555,HIGH,SHORT,UP,DOWN
2023-10-11,0.02015678586974237,-0.0077475842164307085,HIGH,SHORT,UP,DOWN
2023-10-12,-0.0033092889564296495,-0.007411745989557803,HIGH,SHORT,DOWN,DOWN
2023-10-13,0.04624876757990632,-0.005757085166306599,LOW,SHORT,UP,DOWN
2023-10-16,-0.0076248747174708295,-0.0036011888265670604,LOW,SHORT,DOWN,DOWN
2023-10-17,0.0052166751771825426,-0.0041275943363943335,LOW,SHORT,UP,DOWN
2023-10-18,0.013111550543380405,-0.004660493251391007,LOW,SHORT,UP,DOWN
2023-10-19,0.02278459145754226,-0.003848649276142763,LOW,SHORT,UP,DOWN
2023-10-20,-0.012070640132825968,-0.003824887771786128,LOW,SHORT,DOWN,DOWN
2023-10-23,-0.022684068089564084,-0.004270176361661464,LOW,SHORT,DOWN,DOWN
2023-10-24,-0.025158547932485016,-0.005838255743872072,MEDIUM,SHORT,DOWN,DOWN
2023-10-25,0.019693007674920365,-0.005211461222377729,LOW,SHORT,UP,DOWN
2023-10-26,-0.02021310800658612,-0.004476004126250118,LOW,SHORT,DOWN,DOWN
2023-10-27,0.018937779759304663,-0.005131712684763754,LOW,SHORT,UP,DOWN
2023-10-30,-0.02992254203180154,-0.0052941109851371,LOW,SHORT,DOWN,DOWN
2023-10-31,-0.013636358927050672,-0.005916878566768218,MEDIUM,SHORT,DOWN,DOWN
2023-11-01,-0.003605487635762514,-0.005593104029261104,LOW,SHORT,DOWN,DOWN
2023-11-02,0.018949752785645084,-0.005203377647734216,LOW,SHORT,UP,DOWN
2023-11-03,-0.0176128745766275,-0.005460067569352179,LOW,SHORT,DOWN,DOWN
2023-11-06,0.0008013513667661236,-0.006374755879913301,MEDIUM,SHORT,UP,DOWN
2023-11-07,-0.04240292328881122,-0.005086853616518384,LOW,SHORT,DOWN,DOWN
2023-11-08,-0.022678633032617218,-0.0049063775780799285,LOW,SHORT,DOWN,DOWN
2023-11-09,0.0008544226887040801,-0.0052942938639966314,LOW,SHORT,UP,DOWN
2023-11-14,0.03414354886923729,-0.0047624179824978016,LOW,SHORT,UP,DOWN
2023-11-15,-0.0187467284855328,-0.007166904797526649,HIGH,SHORT,DOWN,DOWN
2023-11-16,-0.047214354654269194,-0.00657242767249502,MEDIUM,SHORT,DOWN,DOWN
2023-11-17,0.03890976258005652,-0.006782535070348865,MEDIUM,SHORT,UP,DOWN
2023-11-20,0.021671634851022643,-0.006407131677947089,MEDIUM,SHORT,UP,DOWN
2023-11-21,0.003176081170630913,-0.005710632565009017,LOW,SHORT,UP,DOWN
2023-11-22,-0.012765515002879542,-0.006087979597874928,MEDIUM,SHORT,DOWN,DOWN
2023-12-26,-0.01974399955280629,-0.005904341940182316,MEDIUM,SHORT,DOWN,DOWN
2023-12-27,-0.018544352897414122,-0.005814354581420824,MEDIUM,SHORT,DOWN,DOWN
2023-12-28,-0.025570796365095832,-0.00619761747083701,MEDIUM,SHORT,DOWN,DOWN
2023-12-29,-0.007920519208180475,-0.006526890214206438,MEDIUM,SHORT,DOWN,DOWN
2024-01-02,-0.013291313245864694,-0.00618260897487158,MEDIUM,SHORT,DOWN,DOWN
2024-01-03,0.03613420606279638,-0.005183455824502146,LOW,SHORT,UP,DOWN
2024-01-04,-0.009133869287912003,-0.004695182598687618,LOW,SHORT,DOWN,DOWN
2024-01-05,0.02137708198407873,-0.0052484048698215645,LOW,SHORT,UP,DOWN
2024-01-08,-0.03884409556923109,-0.005497410092783414,LOW,SHORT,DOWN,DOWN
2024-01-09,0.014799550438628694,-0.0062286474345089275,MEDIUM,SHORT,UP,DOWN
2024-01-10,-0.012392870067949613,-0.005543424319631782,LOW,SHORT,DOWN,DOWN
2024-01-11,0.01624361733911579,-0.005482154872618714,LOW,SHORT,UP,DOWN
