日期,收盘,开盘,高,低,交易量,涨跌幅
2015-01-04,709,761,761,709,,-8.04%
2015-01-11,741,723,762,723,,4.51%
2015-01-18,720,739,770,720,,-2.83%
2015-01-25,608,703,703,608,,-15.56%
2015-02-01,559,590,590,559,,-8.06%
2015-02-08,530,554,556,530,,-5.19%
2015-02-15,509,522,522,509,,-3.96%
2015-02-22,540,512,540,512,,6.09%
2015-03-01,565,548,565,548,,4.63%
2015-03-08,562,568,568,560,,-0.53%
2015-03-15,591,564,591,564,,5.16%
2015-03-22,596,594,598,594,,0.85%
2015-03-29,588,599,602,588,,-1.34%
2015-04-05,580,583,583,580,,-1.36%
2015-04-12,597,578,597,578,,2.93%
2015-04-19,600,598,601,598,,0.50%
2015-04-26,587,600,601,587,,-2.17%
2015-05-03,574,580,580,573,,-2.21%
2015-05-10,634,578,637,578,,10.45%
2015-05-17,586,630,630,586,,-7.57%
2015-05-24,589,584,589,584,,0.51%
2015-05-31,610,589,610,589,,3.57%
2015-06-07,642,610,642,610,,5.25%
2015-06-14,779,656,779,656,,21.34%
2015-06-21,823,779,829,779,,5.65%
2015-06-28,805,813,813,794,,-2.19%
2015-07-05,874,815,874,815,,8.57%
2015-07-12,"1,048.00",900,"1,048.00",900,,19.91%
2015-07-19,"1,086.00","1,067.00","1,118.00","1,067.00",,3.63%
2015-07-26,"1,131.00","1,090.00","1,131.00","1,090.00",,4.14%
2015-08-02,"1,200.00","1,151.00","1,222.00","1,151.00",,6.10%
2015-08-09,"1,055.00","1,197.00","1,197.00","1,046.00",,-12.08%
2015-08-16,994,"1,063.00","1,063.00",994,,-5.78%
2015-08-23,903,968,968,903,,-9.15%
2015-08-30,875,911,911,875,,-3.10%
2015-09-06,818,876,876,818,,-6.51%
2015-09-13,960,805,960,802,,17.36%
2015-09-20,943,978,978,917,,-1.77%
2015-09-27,889,943,943,888,,-5.73%
2015-10-04,809,881,881,809,,-9.00%
2015-10-11,754,809,809,754,,-6.80%
2015-10-18,774,747,786,747,,2.65%
2015-10-25,721,759,759,721,,-6.85%
2015-11-01,631,706,706,631,,-12.48%
2015-11-08,560,628,628,560,,-11.25%
2015-11-15,498,550,550,498,,-11.07%
2015-11-22,581,516,581,516,,16.67%
2015-11-29,563,584,598,563,,-3.10%
2015-12-06,522,551,551,522,,-7.28%
2015-12-13,477,508,508,471,,-8.62%
2015-12-20,478,478,478,474,,0.21%
2016-01-03,429,473,473,429,,-10.25%
2016-01-10,373,415,415,373,,-13.05%
2016-01-17,354,369,369,354,,-5.09%
2016-01-24,317,354,354,317,,-10.45%
2016-01-31,297,314,314,297,,-6.31%
2016-02-07,291,293,293,290,,-2.02%
2016-02-14,315,295,315,295,,8.25%
2016-02-21,327,316,327,316,,3.81%
2016-02-28,349,329,349,329,,6.73%
2016-03-06,388,354,388,354,,11.17%
2016-03-13,395,393,396,392,,1.80%
2016-03-20,406,398,406,398,,2.78%
2016-03-27,450,409,450,409,,10.84%
2016-04-03,539,471,539,471,,19.78%
2016-04-10,635,555,635,555,,17.81%
2016-04-17,688,659,688,659,,8.35%
2016-04-24,703,690,715,690,,2.18%
2016-05-01,631,682,682,631,,-10.24%
2016-05-08,600,616,616,579,,-4.91%
2016-05-15,625,613,643,613,,4.17%
2016-05-22,606,624,624,601,,-3.04%
2016-05-29,610,612,612,606,,0.66%
2016-06-05,610,607,611,606,,0.00%
2016-06-12,587,609,609,587,,-3.77%
2016-06-19,609,582,609,580,,3.75%
2016-06-26,677,616,677,616,,11.17%
2016-07-03,703,688,703,688,,3.84%
2016-07-10,745,704,745,704,,5.97%
2016-07-17,718,748,748,718,,-3.62%
2016-07-24,656,709,709,656,,-8.64%
2016-07-31,636,650,650,636,,-3.05%
2016-08-07,671,636,671,631,,5.50%
2016-08-14,683,681,687,681,,1.79%
2016-08-21,720,687,720,687,,5.42%
2016-08-28,720,715,720,711,,0.00%
2016-09-04,804,724,804,724,,11.67%
2016-09-11,800,804,804,756,,-0.50%
2016-09-18,941,836,941,836,,17.63%
2016-09-25,875,934,934,875,,-7.01%
2016-10-02,921,864,921,860,,5.26%
2016-10-09,892,922,922,885,,-3.15%
2016-10-16,842,894,894,842,,-5.61%
2016-10-23,834,831,834,798,,-0.95%
2016-10-30,855,857,857,834,,2.52%
2016-11-06,"1,045.00",870,"1,045.00",870,,22.22%
2016-11-13,"1,257.00","1,065.00","1,257.00","1,065.00",,20.29%
2016-11-20,"1,181.00","1,240.00","1,240.00","1,181.00",,-6.05%
2016-11-27,"1,198.00","1,184.00","1,204.00","1,184.00",,1.44%
2016-12-04,"1,090.00","1,196.00","1,196.00","1,090.00",,-9.02%
2016-12-11,946,"1,069.00","1,069.00",946,,-13.21%
2016-12-18,961,926,961,914,,1.59%
2017-01-01,963,953,983,953,,0.21%
2017-01-08,910,949,949,892,,-5.50%
2017-01-15,925,925,952,922,,1.65%
2017-01-22,827,914,914,827,,-10.59%
2017-01-29,752,816,816,752,,-9.07%
2017-02-05,702,735,735,702,,-6.65%
2017-02-12,741,688,741,685,,5.56%
2017-02-19,875,757,875,757,,18.08%
2017-02-26,939,878,939,859,,7.31%
2017-03-05,"1,086.00",979,"1,086.00",979,,15.65%
2017-03-12,"1,196.00","1,099.00","1,196.00","1,099.00",,10.13%
2017-03-19,"1,240.00","1,205.00","1,240.00","1,190.00",,3.68%
2017-03-26,"1,297.00","1,282.00","1,338.00","1,282.00",,4.60%
2017-04-02,"1,223.00","1,282.00","1,282.00","1,215.00",,-5.71%
2017-04-09,"1,296.00","1,231.00","1,296.00","1,231.00",,5.97%
2017-04-16,"1,195.00","1,294.00","1,294.00","1,195.00",,-7.79%
2017-04-23,"1,109.00","1,170.00","1,170.00","1,109.00",,-7.20%
2017-04-30,994,"1,073.00","1,073.00",994,,-10.37%
2017-05-07,"1,014.00","1,001.00","1,014.00","1,001.00",,2.01%
2017-05-14,956,994,994,956,,-5.72%
2017-05-21,912,954,954,912,,-4.60%
2017-05-28,830,900,900,830,,-8.99%
2017-06-04,849,821,849,818,,2.29%
2017-06-11,851,870,870,851,,0.24%
2017-06-18,870,848,870,844,,2.23%
2017-06-25,901,884,929,884,,3.56%
2017-07-02,822,882,882,822,,-8.77%
2017-07-09,900,820,900,820,,9.49%
2017-07-16,977,912,977,912,,8.56%
2017-07-23,933,977,980,933,,-4.50%
2017-07-30,"1,032.00",946,"1,032.00",946,,10.61%
2017-08-06,"1,138.00","1,036.00","1,138.00","1,036.00",,10.27%
2017-08-13,"1,260.00","1,155.00","1,260.00","1,155.00",,10.72%
2017-08-20,"1,209.00","1,266.00","1,266.00","1,200.00",,-4.05%
2017-08-27,"1,183.00","1,203.00","1,203.00","1,181.00",,-2.15%
2017-09-03,"1,332.00","1,187.00","1,332.00","1,187.00",,12.60%
2017-09-10,"1,385.00","1,355.00","1,385.00","1,337.00",,3.98%
2017-09-17,"1,502.00","1,398.00","1,502.00","1,398.00",,8.45%
2017-09-24,"1,356.00","1,503.00","1,503.00","1,356.00",,-9.72%
2017-10-01,"1,405.00","1,328.00","1,405.00","1,308.00",,3.61%
2017-10-08,"1,485.00","1,411.00","1,485.00","1,411.00",,5.69%
2017-10-15,"1,578.00","1,523.00","1,582.00","1,523.00",,6.26%
2017-10-22,"1,546.00","1,586.00","1,588.00","1,546.00",,-2.03%
2017-10-29,"1,476.00","1,534.00","1,534.00","1,476.00",,-4.53%
2017-11-05,"1,464.00","1,473.00","1,486.00","1,464.00",,-0.81%
2017-11-12,"1,371.00","1,445.00","1,445.00","1,361.00",,-6.35%
2017-11-19,"1,458.00","1,385.00","1,458.00","1,385.00",,6.35%
2017-11-26,"1,626.00","1,477.00","1,626.00","1,477.00",,11.52%
2017-12-03,"1,702.00","1,662.00","1,702.00","1,662.00",,4.67%
2017-12-10,"1,619.00","1,727.00","1,743.00","1,619.00",,-4.88%
2017-12-17,"1,366.00","1,588.00","1,588.00","1,366.00",,-15.63%
2017-12-31,"1,371.00","1,230.00","1,371.00","1,230.00",,0.37%
2018-01-07,"1,279.00","1,385.00","1,395.00","1,279.00",,-6.71%
2018-01-14,"1,125.00","1,264.00","1,264.00","1,125.00",,-12.04%
2018-01-21,"1,219.00","1,129.00","1,219.00","1,129.00",,8.36%
2018-01-28,"1,095.00","1,214.00","1,214.00","1,095.00",,-10.17%
2018-02-04,"1,125.00","1,082.00","1,125.00","1,082.00",,2.74%
2018-02-11,"1,084.00","1,123.00","1,123.00","1,084.00",,-3.64%
2018-02-18,"1,185.00","1,087.00","1,185.00","1,087.00",,9.32%
2018-02-25,"1,207.00","1,191.00","1,207.00","1,188.00",,1.86%
2018-03-04,"1,201.00","1,210.00","1,212.00","1,191.00",,-0.50%
2018-03-11,"1,143.00","1,192.00","1,192.00","1,143.00",,-4.83%
2018-03-18,"1,122.00","1,136.00","1,136.00","1,117.00",,-1.84%
2018-03-25,"1,055.00","1,126.00","1,126.00","1,055.00",,-5.97%
2018-04-01,948,"1,016.00","1,016.00",948,,-10.14%
2018-04-08,"1,014.00",952,"1,014.00",952,,6.96%
2018-04-15,"1,281.00","1,025.00","1,281.00","1,025.00",,26.33%
2018-04-22,"1,361.00","1,306.00","1,376.00","1,306.00",,6.25%
2018-04-29,"1,384.00","1,341.00","1,384.00","1,327.00",,1.69%
2018-05-06,"1,472.00","1,432.00","1,472.00","1,432.00",,6.36%
2018-05-13,"1,273.00","1,476.00","1,476.00","1,273.00",,-13.52%
2018-05-20,"1,077.00","1,239.00","1,239.00","1,077.00",,-15.40%
2018-05-27,"1,156.00","1,057.00","1,156.00","1,042.00",,7.34%
2018-06-03,"1,391.00","1,193.00","1,395.00","1,193.00",,20.33%
2018-06-10,"1,445.00","1,387.00","1,445.00","1,387.00",,3.88%
2018-06-17,"1,341.00","1,442.00","1,442.00","1,341.00",,-7.20%
2018-06-24,"1,385.00","1,333.00","1,385.00","1,309.00",,3.28%
2018-07-01,"1,622.00","1,422.00","1,622.00","1,422.00",,17.11%
2018-07-08,"1,666.00","1,609.00","1,666.00","1,555.00",,2.71%
2018-07-15,"1,689.00","1,695.00","1,721.00","1,657.00",,1.38%
2018-07-22,"1,676.00","1,718.00","1,774.00","1,676.00",,-0.77%
2018-07-29,"1,773.00","1,703.00","1,773.00","1,703.00",,5.79%
2018-08-05,"1,691.00","1,773.00","1,773.00","1,691.00",,-4.62%
2018-08-12,"1,723.00","1,709.00","1,727.00","1,709.00",,1.89%
2018-08-19,"1,697.00","1,727.00","1,736.00","1,697.00",,-1.51%
2018-08-26,"1,579.00","1,684.00","1,684.00","1,579.00",,-6.95%
2018-09-02,"1,490.00","1,557.00","1,557.00","1,477.00",,-5.64%
2018-09-09,"1,366.00","1,482.00","1,482.00","1,366.00",,-8.32%
2018-09-16,"1,413.00","1,357.00","1,413.00","1,356.00",,3.44%
2018-09-23,"1,540.00","1,434.00","1,540.00","1,434.00",,8.99%
2018-09-30,"1,536.00","1,555.00","1,574.00","1,536.00",,-0.26%
2018-10-07,"1,579.00","1,530.00","1,579.00","1,493.00",,2.80%
2018-10-14,"1,576.00","1,584.00","1,584.00","1,554.00",,-0.19%
2018-10-21,"1,519.00","1,579.00","1,579.00","1,516.00",,-3.62%
2018-10-28,"1,457.00","1,522.00","1,522.00","1,457.00",,-4.08%
2018-11-04,"1,147.00","1,428.00","1,428.00","1,147.00",,-21.28%
2018-11-11,"1,031.00","1,125.00","1,125.00","1,009.00",,-10.11%
2018-11-18,"1,093.00","1,023.00","1,093.00","1,003.00",,6.01%
2018-11-25,"1,231.00","1,217.00","1,339.00","1,217.00",,12.63%
2018-12-02,"1,372.00","1,203.00","1,372.00","1,203.00",,11.45%
2018-12-09,"1,401.00","1,385.00","1,401.00","1,353.00",,2.11%
2018-12-16,"1,279.00","1,406.00","1,406.00","1,279.00",,-8.71%
2018-12-23,"1,271.00","1,271.00","1,271.00","1,271.00",,-0.63%
2018-12-30,"1,260.00","1,282.00","1,282.00","1,260.00",,-0.87%
2019-01-06,"1,169.00","1,247.00","1,262.00","1,169.00",,-7.22%
2019-01-13,"1,112.00","1,147.00","1,147.00","1,055.00",,-4.88%
2019-01-20,905,"1,092.00","1,092.00",905,,-18.62%
2019-01-27,645,852,852,645,,-28.73%
2019-02-03,601,634,634,601,,-6.82%
2019-02-10,639,595,639,595,,6.32%
2019-02-17,634,643,643,622,,-0.78%
2019-02-24,664,637,664,637,,4.73%
2019-03-03,649,669,669,649,,-2.26%
2019-03-10,730,645,730,645,,12.48%
2019-03-17,690,721,721,690,,-5.48%
2019-03-24,689,689,692,683,,-0.14%
2019-03-31,711,685,711,672,,3.19%
2019-04-07,726,714,734,714,,2.11%
2019-04-14,790,738,790,738,,8.82%
2019-04-21,889,821,889,821,,12.53%
2019-04-28,985,913,"1,032.00",913,,10.80%
2019-05-05,"1,013.00",936,"1,013.00",936,,2.84%
2019-05-12,"1,040.00","1,026.00","1,043.00","1,026.00",,2.67%
2019-05-19,"1,066.00","1,041.00","1,068.00","1,041.00",,2.50%
2019-05-26,"1,096.00","1,082.00","1,107.00","1,082.00",,2.81%
2019-06-02,"1,138.00","1,103.00","1,141.00","1,103.00",,3.83%
2019-06-09,"1,085.00","1,125.00","1,125.00","1,062.00",,-4.66%
2019-06-16,"1,239.00","1,093.00","1,239.00","1,093.00",,14.19%
2019-06-23,"1,354.00","1,258.00","1,354.00","1,258.00",,9.28%
2019-06-30,"1,740.00","1,381.00","1,740.00","1,381.00",,28.51%
2019-07-07,"1,865.00","1,725.00","1,865.00","1,725.00",,7.18%
2019-07-14,"2,170.00","1,928.00","2,170.00","1,928.00",,16.35%
2019-07-21,"1,937.00","2,191.00","2,191.00","1,937.00",,-10.74%
2019-07-28,"1,788.00","1,922.00","1,922.00","1,788.00",,-7.69%
2019-08-04,"1,748.00","1,774.00","1,774.00","1,712.00",,-2.24%
2019-08-11,"2,088.00","1,774.00","2,088.00","1,774.00",,19.45%
2019-08-18,"2,168.00","2,067.00","2,168.00","2,059.00",,3.83%
2019-08-25,"2,378.00","2,213.00","2,378.00","2,213.00",,9.69%
2019-09-01,"2,462.00","2,442.00","2,518.00","2,442.00",,3.53%
2019-09-08,"2,312.00","2,422.00","2,422.00","2,312.00",,-6.09%
2019-09-15,"2,131.00","2,311.00","2,311.00","2,131.00",,-7.83%
2019-09-22,"1,857.00","2,108.00","2,116.00","1,857.00",,-12.86%
2019-09-29,"1,767.00","1,823.00","1,823.00","1,757.00",,-4.85%
2019-10-06,"1,924.00","1,770.00","1,929.00","1,770.00",,8.89%
2019-10-13,"1,855.00","1,916.00","1,916.00","1,855.00",,-3.59%
2019-10-20,"1,801.00","1,846.00","1,846.00","1,779.00",,-2.91%
2019-10-27,"1,697.00","1,803.00","1,803.00","1,697.00",,-5.77%
2019-11-03,"1,378.00","1,675.00","1,675.00","1,378.00",,-18.80%
2019-11-10,"1,357.00","1,345.00","1,365.00","1,345.00",,-1.52%
2019-11-17,"1,284.00","1,338.00","1,338.00","1,255.00",,-5.38%
2019-11-24,"1,528.00","1,351.00","1,528.00","1,351.00",,19.00%
2019-12-01,"1,558.00","1,568.00","1,606.00","1,558.00",,1.96%
2019-12-08,"1,355.00","1,551.00","1,551.00","1,355.00",,-13.03%
2019-12-15,"1,123.00","1,315.00","1,315.00","1,123.00",,-17.12%
2019-12-22,"1,090.00","1,103.00","1,103.00","1,090.00",,-2.94%
2019-12-29,907,976,976,907,,-16.79%
2020-01-05,774,844,844,772,,-14.66%
2020-01-12,754,765,768,754,,-2.58%
2020-01-19,557,729,729,557,,-26.13%
2020-01-26,487,546,546,487,,-12.57%
2020-02-02,415,466,466,415,,-14.78%
2020-02-09,425,411,425,411,,2.41%
2020-02-16,497,434,497,434,,16.94%
2020-02-23,535,506,535,506,,7.65%
2020-03-01,617,539,617,539,,15.33%
2020-03-08,631,616,633,616,,2.27%
2020-03-15,625,623,630,612,,-0.95%
2020-03-22,556,617,617,556,,-11.04%
2020-03-29,616,548,626,548,,10.79%
2020-04-05,635,604,635,596,,3.08%
2020-04-12,751,679,751,679,,18.27%
2020-04-19,665,757,757,665,,-11.45%
2020-04-26,617,661,661,617,,-7.22%
2020-05-03,514,598,598,514,,-16.69%
