"Symbol","ReportTypeID","EndDate","FundID","FundClassID","StartDate","EstablishDateShares","TotalBeginningFundShare","TotalPurchaseFundShare","TotalRedemptionFundShare","FundSplitChangeShare","EndDateShares"
"000042","1","2016-03-31","10110453","202000000031","2016-01-01","247395794.87","17829317.70","22943899.67","23063462.25","","17709755.12"
"000042","2","2016-06-30","10110453","202000000031","2016-04-01","247395794.87","17709755.12","23016492.72","22995474.25","","17730773.59"
"000042","5","2016-06-30","10110453","202000000031","2016-01-01","247395794.87","17829317.70","45960392.39","46058936.50","","17730773.59"
"000042","3","2016-09-30","10110453","202000000031","2016-07-01","247395794.87","17730773.59","19651529.29","2595181.03","","34787121.85"
"000042","4","2016-12-31","10110453","202000000031","2016-10-01","247395794.87","34787121.85","2018157.55","8065061.64","","28740217.76"
"000042","6","2016-12-31","10110453","202000000031","2016-01-01","247395794.87","17829317.70","67630079.23","56719179.17","","28740217.76"
"000042","1","2017-03-31","10110453","202000000031","2017-01-01","247395794.87","28740217.76","40302728.00","18760371.59","","50282574.17"
"000042","2","2017-06-30","10110453","202000000031","2017-04-01","247395794.87","50282574.17","897199.38","1412700.19","","49767073.36"
"000042","5","2017-06-30","10110453","202000000031","2017-01-01","247395794.87","28740217.76","41199927.38","20173071.78","","49767073.36"
"000042","3","2017-09-30","10110453","202000000031","2017-07-01","247395794.87","49767073.36","9300064.53","1921662.86","","57145475.03"
"000042","4","2017-12-31","10110453","202000000031","2017-10-01","247395794.87","57145475.03","1846964.27","1467677.56","","57524761.74"
"000042","6","2017-12-31","10110453","202000000031","2017-01-01","247395794.87","28740217.76","52346956.18","23562412.20","","57524761.74"
"000042","1","2018-03-31","10110453","202000000031","2018-01-01","247395794.87","57524761.74","2393330.36","2939052.16","","56979039.94"
"000042","2","2018-06-30","10110453","202000000031","2018-04-01","247395794.87","56979039.94","1225096.47","582300.40","0.00","57621836.01"
"000042","5","2018-06-30","10110453","202000000031","2018-01-01","247395794.87","57524761.74","3618426.83","3521352.56","0.00","57621836.01"
"000042","3","2018-09-30","10110453","202000000031","2018-07-01","247395794.87","57621836.01","1656916.99","886755.85","0.00","58391997.15"
"000042","4","2018-12-31","10110453","202000000031","2018-10-01","247395794.87","58391997.15","1450659.70","1242574.73","0.00","58600082.12"
"000042","6","2018-12-31","10110453","202000000031","2018-01-01","247395794.87","57524761.74","6726003.52","5650683.14","","58600082.12"
"000042","1","2019-03-31","10110453","202000000031","2019-01-01","247395794.87","58600082.12","3900889.32","2631641.49","0.00","59869329.95"
"000042","2","2019-06-30","10110453","202000000031","2019-04-01","247395794.87","59869329.95","276368066.51","3526845.29","0.00","332710551.17"
"000042","5","2019-06-30","10110453","202000000031","2019-01-01","247395794.87","58600082.12","280268955.83","6158486.78","","332710551.17"
"000042","3","2019-09-30","10110453","202000000031","2019-07-01","247395794.87","332710551.17","357302681.74","4523932.83","0.00","685489300.08"
"000042","4","2019-12-31","10110453","202000000031","2019-10-01","247395794.87","685489300.08","3189069.35","288969923.15","0.00","399708446.28"
"000042","6","2019-12-31","10110453","202000000031","2019-01-01","247395794.87","58600082.12","640760706.92","299652342.76","","399708446.28"
"000042","1","2020-03-31","10110453","202000000031","2020-01-01","247395794.87","399708446.28","4863502.80","219712335.99","","184859613.09"
"000042","2","2020-06-30","10110453","202000000031","2020-04-01","247395794.87","184859613.09","2587116.18","63276620.81","","124170108.46"
"000042","5","2020-06-30","10110453","202000000031","2020-01-01","247395794.87","399708446.28","7450618.98","282988956.80","","124170108.46"
"000042","3","2020-09-30","10110453","202000000031","2020-07-01","247395794.87","124170108.46","23134684.78","7350558.93","","139954234.31"
