"TradingDate","Symbol","FundClassID","NAV","AccumulativeNAV","AnnualizedYield","Frequency","MarketStatus"
"2021-04-02","000042","202000000031","1.9486","2.4374","","",""
"2021-04-06","000042","202000000031","1.9515","2.4403","","",""
"2021-04-07","000042","202000000031","1.9506","2.4394","","",""
"2021-04-08","000042","202000000031","1.9464","2.4352","","",""
"2021-04-09","000042","202000000031","1.9330","2.4218","","",""
"2021-04-12","000042","202000000031","1.8982","2.3870","","",""
"2021-04-13","000042","202000000031","1.8953","2.3841","","",""
"2021-04-14","000042","202000000031","1.9115","2.4003","","",""
"2021-04-15","000042","202000000031","1.9018","2.3906","","",""
"2021-04-16","000042","202000000031","1.9181","2.4069","","",""
"2021-04-19","000042","202000000031","1.9603","2.4491","","",""
"2021-04-20","000042","202000000031","1.9622","2.4510","","",""
"2021-04-21","000042","202000000031","1.9682","2.4570","","",""
"2021-04-22","000042","202000000031","1.9655","2.4543","","",""
"2021-04-23","000042","202000000031","1.9740","2.4628","","",""
"2021-04-26","000042","202000000031","1.9573","2.4461","","",""
"2021-04-27","000042","202000000031","1.9554","2.4442","","",""
"2021-04-28","000042","202000000031","1.9653","2.4541","","",""
"2021-04-29","000042","202000000031","1.9731","2.4619","","",""
"2021-04-30","000042","202000000031","1.9522","2.4410","","",""
"2021-05-06","000042","202000000031","1.9396","2.4284","","",""
"2021-05-07","000042","202000000031","1.9228","2.4116","","",""
"2021-05-10","000042","202000000031","1.9195","2.4083","","",""
"2021-05-11","000042","202000000031","1.9285","2.4173","","",""
"2021-05-12","000042","202000000031","1.9359","2.4247","","",""
"2021-05-13","000042","202000000031","1.9127","2.4015","","",""
"2021-05-14","000042","202000000031","1.9485","2.4373","","",""
"2021-05-17","000042","202000000031","1.9728","2.4616","","",""
"2021-05-18","000042","202000000031","1.9756","2.4644","","",""
"2021-05-19","000042","202000000031","1.9680","2.4568","","",""
"2021-05-20","000042","202000000031","1.9702","2.4590","","",""
"2021-05-21","000042","202000000031","1.9630","2.4518","","",""
"2021-05-24","000042","202000000031","1.9675","2.4563","","",""
"2021-05-25","000042","202000000031","2.0131","2.5019","","",""
"2021-05-26","000042","202000000031","2.0231","2.5119","","",""
"2021-05-27","000042","202000000031","2.0300","2.5188","","",""
"2021-05-28","000042","202000000031","2.0238","2.5126","","",""
"2021-05-31","000042","202000000031","2.0264","2.5152","","",""
"2021-06-01","000042","202000000031","2.0305","2.5193","","",""
"2021-06-02","000042","202000000031","2.0097","2.4985","","",""
"2021-06-03","000042","202000000031","1.9985","2.4873","","",""
"2021-06-04","000042","202000000031","2.0034","2.4922","","",""
"2021-06-07","000042","202000000031","2.0086","2.4974","","",""
"2021-06-08","000042","202000000031","1.9966","2.4854","","",""
"2021-06-09","000042","202000000031","1.9993","2.4881","","",""
"2021-06-10","000042","202000000031","2.0056","2.4944","","",""
"2021-06-11","000042","202000000031","1.9923","2.4811","","",""
"2021-06-15","000042","202000000031","1.9680","2.4568","","",""
"2021-06-16","000042","202000000031","1.9451","2.4339","","",""
"2021-06-17","000042","202000000031","1.9525","2.4413","","",""
"2021-06-18","000042","202000000031","1.9603","2.4491","","",""
"2021-06-21","000042","202000000031","1.9557","2.4445","","",""
"2021-06-22","000042","202000000031","1.9760","2.4648","","",""
"2021-06-23","000042","202000000031","1.9873","2.4761","","",""
"2021-06-24","000042","202000000031","1.9900","2.4788","","",""
"2021-06-25","000042","202000000031","2.0177","2.5065","","",""
"2021-06-28","000042","202000000031","2.0226","2.5114","","",""
