date,OVX_index
2015/1/2,54.25
2015/1/5,57.67
2015/1/6,56.45
2015/1/7,53.25
2015/1/8,50.96
2015/1/9,50.07
2015/1/12,53.13
2015/1/13,53.78
2015/1/14,53.17
2015/1/15,57.77
2015/1/16,56.44
2015/1/19,
2015/1/20,57.99
2015/1/21,55.09
2015/1/22,56.4
2015/1/23,57.62
2015/1/26,56.65
2015/1/27,54.23
2015/1/28,55.18
2015/1/29,54.69
2015/1/30,58.62
2015/2/2,57.84
2015/2/3,59.68
2015/2/4,62.73
2015/2/5,63.14
2015/2/6,60.83
2015/2/9,56
2015/2/10,59.29
2015/2/11,60.23
2015/2/12,58.69
2015/2/13,55.53
2015/2/16,
2015/2/17,56.33
2015/2/18,55.97
2015/2/19,55.75
2015/2/20,54
2015/2/23,58.67
2015/2/24,56.27
2015/2/25,54.93
2015/2/26,56.46
2015/2/27,55.85
2015/3/2,54.92
2015/3/3,53.05
2015/3/4,48.92
2015/3/5,47.09
2015/3/6,48.96
2015/3/9,48.99
2015/3/10,50.92
2015/3/11,49.17
2015/3/12,49.59
2015/3/13,54.56
2015/3/16,56.93
2015/3/17,59.85
2015/3/18,53.65
2015/3/19,53.82
2015/3/20,50.84
2015/3/23,49.32
2015/3/24,47.94
2015/3/25,47.03
2015/3/26,49.58
2015/3/27,52.84
2015/3/30,51.98
2015/3/31,53.72
2015/4/1,50.9
2015/4/2,49.84
2015/4/3,
2015/4/6,48.33
2015/4/7,46.25
2015/4/8,48.1
2015/4/9,46.65
2015/4/10,43.04
2015/4/13,44.2
2015/4/14,44.65
2015/4/15,46.14
2015/4/16,43.48
2015/4/17,42
2015/4/20,42.06
2015/4/21,41.04
2015/4/22,39.01
2015/4/23,37.98
2015/4/24,36.61
2015/4/27,37.46
2015/4/28,37.31
2015/4/29,36.68
2015/4/30,36.28
2015/5/1,35.62
2015/5/4,36.2
2015/5/5,36.24
2015/5/6,36.88
2015/5/7,38.13
2015/5/8,35.09
2015/5/11,34.86
2015/5/12,33.74
2015/5/13,34.33
2015/5/14,32.63
2015/5/15,29.95
2015/5/18,30.63
2015/5/19,34.82
2015/5/20,33.7
2015/5/21,31.61
2015/5/22,31.29
2015/5/25,
2015/5/26,34.66
2015/5/27,35.29
2015/5/28,34.2
2015/5/29,33.74
2015/6/1,35.3
2015/6/2,35.74
2015/6/3,37.4
2015/6/4,38.42
2015/6/5,33.54
2015/6/8,34.04
2015/6/9,33.01
2015/6/10,31.79
2015/6/11,31.76
2015/6/12,31.51
2015/6/15,32.55
2015/6/16,32.39
2015/6/17,32.83
2015/6/18,31.59
2015/6/19,30.4
2015/6/22,30.06
2015/6/23,29.69
2015/6/24,29.6
2015/6/25,29.26
2015/6/26,29.01
2015/6/29,33.64
2015/6/30,32.43
2015/7/1,34.11
2015/7/2,33.8
2015/7/3,
2015/7/6,40.01
2015/7/7,40.54
2015/7/8,42.2
2015/7/9,42.04
2015/7/10,41.22
2015/7/13,38.08
2015/7/14,36.31
2015/7/15,37.25
2015/7/16,35.92
2015/7/17,34.68
2015/7/20,36.39
2015/7/21,34.97
2015/7/22,37.66
2015/7/23,38.46
2015/7/24,39
2015/7/27,41.15
2015/7/28,39.94
2015/7/29,38.59
2015/7/30,37.33
2015/7/31,38.82
2015/8/3,40.91
2015/8/4,40.12
2015/8/5,40.18
2015/8/6,41.54
2015/8/7,41.17
2015/8/10,40.99
2015/8/11,42.16
2015/8/12,42.4
2015/8/13,43.23
2015/8/14,40.92
2015/8/17,40.35
2015/8/18,39.48
2015/8/19,41.29
2015/8/20,42.58
2015/8/21,44.66
2015/8/24,50.11
2015/8/25,49
2015/8/26,46.87
2015/8/27,49.03
2015/8/28,51.56
2015/8/31,54.37
2015/9/1,57.51
2015/9/2,53.75
2015/9/3,50.44
2015/9/4,49.29
2015/9/7,
2015/9/8,50.14
2015/9/9,49.5
2015/9/10,50.05
2015/9/11,49.63
2015/9/14,49.81
2015/9/15,51.14
2015/9/16,50.24
2015/9/17,45.34
2015/9/18,45.84
2015/9/21,47.51
2015/9/22,48.9
2015/9/23,51.12
2015/9/24,49.44
2015/9/25,47.71
2015/9/28,49.46
2015/9/29,49.32
2015/9/30,45.52
2015/10/1,44.61
2015/10/2,42.86
2015/10/5,43.03
2015/10/6,44.14
2015/10/7,43.26
2015/10/8,43.28
2015/10/9,42.8
2015/10/12,44.9
2015/10/13,45.37
2015/10/14,42.7
2015/10/15,41.99
2015/10/16,39.58
2015/10/19,40.74
2015/10/20,41.72
2015/10/21,41.77
2015/10/22,40.22
2015/10/23,41.51
2015/10/26,42.99
2015/10/27,44.77
2015/10/28,44.29
2015/10/29,43.63
2015/10/30,41.95
2015/11/2,41.88
2015/11/3,41.27
2015/11/4,41.54
2015/11/5,39.29
2015/11/6,39.85
2015/11/9,41.34
2015/11/10,39.34
2015/11/11,41.92
2015/11/12,43.93
2015/11/13,46.26
2015/11/16,47.44
2015/11/17,46.63
2015/11/18,43.53
2015/11/19,43.75
2015/11/20,44.93
2015/11/23,45.84
2015/11/24,47.17
2015/11/25,48.46
2015/11/26,
2015/11/27,48.28
2015/11/30,48.14
2015/12/1,49.28
2015/12/2,51.96
2015/12/3,50.65
2015/12/4,45.44
2015/12/7,49
2015/12/8,50.34
2015/12/9,51.53
2015/12/10,51.23
2015/12/11,54.29
2015/12/14,55.36
2015/12/15,50.03
2015/12/16,47.64
2015/12/17,47.45
2015/12/18,49.43
2015/12/21,49.18
2015/12/22,48.84
2015/12/23,47.39
2015/12/24,44.81
2015/12/25,
2015/12/28,47
2015/12/29,45.27
2015/12/30,46.01
2015/12/31,46.57
2016/1/1,
2016/1/4,49.79
2016/1/5,49.68
2016/1/6,52.36
2016/1/7,56.15
2016/1/8,56.1
2016/1/11,62.98
2016/1/12,65.27
2016/1/13,60.67
2016/1/14,57.56
2016/1/15,62.09
2016/1/18,
2016/1/19,64.04
2016/1/20,67.93
2016/1/21,65.79
2016/1/22,61.86
2016/1/25,65.74
2016/1/26,65.89
2016/1/27,65.62
2016/1/28,65.99
2016/1/29,61.86
2016/2/1,66.63
2016/2/2,68.59
2016/2/3,67.71
2016/2/4,66.78
