date,VIX_index
2015/1/2,17.79
2015/1/5,19.92
2015/1/6,21.12
2015/1/7,19.31
2015/1/8,17.01
2015/1/9,17.55
2015/1/12,19.6
2015/1/13,20.56
2015/1/14,21.48
2015/1/15,22.39
2015/1/16,20.95
2015/1/19,
2015/1/20,19.89
2015/1/21,18.85
2015/1/22,16.4
2015/1/23,16.66
2015/1/26,15.52
2015/1/27,17.22
2015/1/28,20.44
2015/1/29,18.76
2015/1/30,20.97
2015/2/2,19.43
2015/2/3,17.33
2015/2/4,18.33
2015/2/5,16.85
2015/2/6,17.29
2015/2/9,18.55
2015/2/10,17.23
2015/2/11,16.96
2015/2/12,15.34
2015/2/13,14.69
2015/2/16,
2015/2/17,15.8
2015/2/18,15.45
2015/2/19,15.29
2015/2/20,14.3
2015/2/23,14.56
2015/2/24,13.69
2015/2/25,13.84
2015/2/26,13.91
2015/2/27,13.34
2015/3/2,13.04
2015/3/3,13.86
2015/3/4,14.23
2015/3/5,14.04
2015/3/6,15.2
2015/3/9,15.06
2015/3/10,16.69
2015/3/11,16.87
2015/3/12,15.42
2015/3/13,16
2015/3/16,15.61
2015/3/17,15.66
2015/3/18,13.97
2015/3/19,14.07
2015/3/20,13.02
2015/3/23,13.41
2015/3/24,13.62
2015/3/25,15.44
2015/3/26,15.8
2015/3/27,15.07
2015/3/30,14.51
2015/3/31,15.29
2015/4/1,15.11
2015/4/2,14.67
2015/4/3,
2015/4/6,14.74
2015/4/7,14.78
2015/4/8,13.98
2015/4/9,13.09
2015/4/10,12.58
2015/4/13,13.94
2015/4/14,13.67
2015/4/15,12.84
2015/4/16,12.6
2015/4/17,13.89
2015/4/20,13.3
2015/4/21,13.25
2015/4/22,12.71
2015/4/23,12.48
2015/4/24,12.29
2015/4/27,13.12
2015/4/28,12.41
2015/4/29,13.39
2015/4/30,14.55
2015/5/1,12.7
2015/5/4,12.85
2015/5/5,14.31
2015/5/6,15.15
2015/5/7,15.13
2015/5/8,12.86
2015/5/11,13.85
2015/5/12,13.86
2015/5/13,13.76
2015/5/14,12.74
2015/5/15,12.38
2015/5/18,12.73
2015/5/19,12.85
2015/5/20,12.88
2015/5/21,12.11
2015/5/22,12.13
2015/5/25,
2015/5/26,14.06
2015/5/27,13.27
2015/5/28,13.31
2015/5/29,13.84
2015/6/1,13.97
2015/6/2,14.24
2015/6/3,13.66
2015/6/4,14.71
2015/6/5,14.21
2015/6/8,15.29
2015/6/9,14.47
2015/6/10,13.22
2015/6/11,12.85
2015/6/12,13.78
2015/6/15,15.39
2015/6/16,14.81
2015/6/17,14.5
2015/6/18,13.19
2015/6/19,13.96
2015/6/22,12.74
2015/6/23,12.11
2015/6/24,13.26
2015/6/25,14.01
2015/6/26,14.02
2015/6/29,18.85
2015/6/30,18.23
2015/7/1,16.09
2015/7/2,16.79
2015/7/3,
2015/7/6,17.01
2015/7/7,16.09
2015/7/8,19.66
2015/7/9,19.97
2015/7/10,16.83
2015/7/13,13.9
2015/7/14,13.37
2015/7/15,13.23
2015/7/16,12.11
2015/7/17,11.95
2015/7/20,12.25
2015/7/21,12.22
2015/7/22,12.12
2015/7/23,12.64
2015/7/24,13.74
2015/7/27,15.6
2015/7/28,13.44
2015/7/29,12.5
2015/7/30,12.13
2015/7/31,12.12
2015/8/3,12.56
2015/8/4,13
2015/8/5,12.51
2015/8/6,13.77
2015/8/7,13.39
2015/8/10,12.23
2015/8/11,13.71
2015/8/12,13.61
2015/8/13,13.49
2015/8/14,12.83
2015/8/17,13.02
2015/8/18,13.79
2015/8/19,15.25
2015/8/20,19.14
2015/8/21,28.03
2015/8/24,40.74
2015/8/25,36.02
2015/8/26,30.32
2015/8/27,26.1
2015/8/28,26.05
2015/8/31,28.43
2015/9/1,31.4
2015/9/2,26.09
2015/9/3,25.61
2015/9/4,27.8
2015/9/7,
2015/9/8,24.9
2015/9/9,26.23
2015/9/10,24.37
2015/9/11,23.2
2015/9/14,24.25
2015/9/15,22.54
2015/9/16,21.35
2015/9/17,21.14
2015/9/18,22.28
2015/9/21,20.14
2015/9/22,22.44
2015/9/23,22.13
2015/9/24,23.47
2015/9/25,23.62
2015/9/28,27.63
2015/9/29,26.83
2015/9/30,24.5
2015/10/1,22.55
2015/10/2,20.94
2015/10/5,19.54
2015/10/6,19.4
2015/10/7,18.4
2015/10/8,17.42
2015/10/9,17.08
2015/10/12,16.17
2015/10/13,17.67
2015/10/14,18.03
2015/10/15,16.05
2015/10/16,15.05
2015/10/19,14.98
2015/10/20,15.75
2015/10/21,16.7
2015/10/22,14.45
2015/10/23,14.46
2015/10/26,15.29
2015/10/27,15.43
2015/10/28,14.33
2015/10/29,14.61
2015/10/30,15.07
2015/11/2,14.15
2015/11/3,14.54
2015/11/4,15.51
2015/11/5,15.05
2015/11/6,14.33
2015/11/9,16.52
2015/11/10,15.29
2015/11/11,16.06
2015/11/12,18.37
2015/11/13,20.08
2015/11/16,18.16
2015/11/17,18.84
2015/11/18,16.85
2015/11/19,16.99
2015/11/20,15.47
2015/11/23,15.62
2015/11/24,15.93
2015/11/25,15.19
2015/11/26,
2015/11/27,15.12
2015/11/30,16.13
2015/12/1,14.67
2015/12/2,15.91
2015/12/3,18.11
2015/12/4,14.81
2015/12/7,15.84
2015/12/8,17.6
2015/12/9,19.61
2015/12/10,19.34
2015/12/11,24.39
2015/12/14,22.73
2015/12/15,20.95
2015/12/16,17.86
2015/12/17,18.94
2015/12/18,20.7
2015/12/21,18.7
2015/12/22,16.6
2015/12/23,15.57
2015/12/24,15.74
2015/12/25,
2015/12/28,16.91
2015/12/29,16.08
2015/12/30,17.29
2015/12/31,18.21
2016/1/1,
2016/1/4,20.7
2016/1/5,19.34
2016/1/6,20.59
2016/1/7,24.99
2016/1/8,27.01
2016/1/11,24.3
2016/1/12,22.47
2016/1/13,25.22
2016/1/14,23.95
2016/1/15,27.02
2016/1/18,
2016/1/19,26.05
