类别：所有类别

月份,oil price: (全球)
2015-01,50
2015-02,42
2015-03,30
2015-04,27
2015-05,23
2015-06,18
2015-07,23
2015-08,35
2015-09,28
2015-10,25
2015-11,22
2015-12,34
2016-01,55
2016-02,47
2016-03,41
2016-04,37
2016-05,33
2016-06,30
2016-07,25
2016-08,27
2016-09,27
2016-10,26
2016-11,26
2016-12,27
2017-01,23
2017-02,21
2017-03,22
2017-04,20
2017-05,20
2017-06,21
2017-07,22
2017-08,21
2017-09,21
2017-10,19
2017-11,26
2017-12,21
2018-01,25
2018-02,23
2018-03,19
2018-04,22
2018-05,27
2018-06,22
2018-07,24
2018-08,21
2018-09,25
2018-10,27
2018-11,32
2018-12,30
2019-01,25
2019-02,21
2019-03,21
2019-04,21
2019-05,21
2019-06,22
2019-07,22
2019-08,21
2019-09,28
2019-10,20
2019-11,19
2019-12,19
2020-01,24
2020-02,23
2020-03,70
2020-04,100
2020-05,43
2020-06,40
2020-07,30
2020-08,24
2020-09,27
2020-10,26
2020-11,28
2020-12,28
2021-01,31
2021-02,34
2021-03,32
2021-04,27
2021-05,29
2021-06,34
2021-07,32
2021-08,27
2021-09,27
2021-10,32
2021-11,29
2021-12,28
2022-01,28
2022-02,46
2022-03,80
2022-04,42
2022-05,40
2022-06,48
2022-07,49
2022-08,42
2022-09,41
2022-10,37
2022-11,33
2022-12,36
2023-01,31
2023-02,31
2023-03,31
2023-04,29
2023-05,27
2023-06,29
2023-07,29
2023-08,31
2023-09,33
2023-10,36
2023-11,31
2023-12,34
2024-01,29
2024-02,24
2024-03,22
2024-04,25
2024-05,22
2024-06,21
2024-07,22
2024-08,24
2024-09,27
2024-10,29
2024-11,25
2024-12,23
2025-01,24
2025-02,22
2025-03,23
2025-04,29
2025-05,23
2025-06,37
2025-07,34
2025-08,96
2025-09,91
2025-10,88
2025-11,90
2025-12,71
