feature,spearman_corr_with_return,spearman_pvalue,abs_spearman_corr,rf_importance
WTI_Futures_Lag2,-0.16744348162740882,0.0008349406828030633,0.16744348162740882,0.06562817780024227
WTI_Futures_Lag1,-0.15108091228465245,0.002608557870033935,0.15108091228465245,0.09901763863493857
WTI_Futures,-0.14341497236134942,0.0042893267917428505,0.14341497236134942,0.4042406046083393
WTI_Futures_MA_10,-0.12433544528944045,0.013402558693905843,0.12433544528944045,0.088597484447416
Inventory_Price_Ratio,0.12102935045132596,0.016100005082239008,0.12102935045132596,0.14175541669272582
BB_Upper_20,-0.09374763452390446,0.06268859128297528,0.09374763452390446,0.0005653748852848028
BB_Lower_20,-0.07294725793743198,0.14785996421595288,0.07294725793743198,0.11319760855686116
US10Y,-0.026758467109407717,0.5959569410542245,0.026758467109407717,0.055645873399219316
Basis,0.0101029543165634,0.8413546606417072,0.0101029543165634,0.02932463603912997
Stocks_MA_20,-0.006898945729569507,0.891283008934613,0.006898945729569507,0.0020271849358426425
