Date_target,Actual_Return,Pred_Return,RiskLevel,Signal,TrueDirection,PredDirection
2023-04-12,0.018955279875836988,-0.5649971453872642,LOW,SHORT,UP,DOWN
2023-04-13,-0.00873606386285562,-0.5828603687651954,MEDIUM,SHORT,DOWN,DOWN
2023-04-14,0.004030769059586438,-0.5684427127518049,MEDIUM,SHORT,UP,DOWN
2023-04-17,-0.01749152639822538,-0.5655118521496666,LOW,SHORT,DOWN,DOWN
2023-04-18,-0.0015539027099905924,-0.5462592893656811,LOW,SHORT,DOWN,DOWN
2023-04-19,-0.020424908276372868,-0.5494034725767861,LOW,SHORT,DOWN,DOWN
2023-04-20,-0.024836989756020837,-0.5360520028897388,LOW,SHORT,DOWN,DOWN
2023-04-21,0.00898320776769644,-0.5188139866856234,LOW,SHORT,UP,DOWN
2023-04-24,0.015131976823006441,-0.5345303970908742,LOW,SHORT,UP,DOWN
2023-04-25,-0.02381930716981419,-0.5518072339487138,LOW,SHORT,DOWN,DOWN
2023-04-26,-0.033993378007582085,-0.5290830546131345,LOW,SHORT,DOWN,DOWN
2023-04-27,0.006861305480174958,-0.49598280182846616,LOW,SHORT,UP,DOWN
2023-04-28,0.025355832508257625,-0.5051833451013656,LOW,SHORT,UP,DOWN
2023-05-01,-0.014174007180748318,-0.5346407277727622,LOW,SHORT,DOWN,DOWN
2023-05-02,-0.054025540387353785,-0.5220336884038567,LOW,SHORT,DOWN,DOWN
2023-05-03,-0.044430100076951085,-0.4686555572690607,LOW,SHORT,DOWN,DOWN
2023-05-04,0.006445760401040478,-0.43105476414126465,LOW,SHORT,UP,DOWN
2023-05-05,0.037667073523529444,-0.4508152376465024,LOW,SHORT,UP,DOWN
2023-05-08,0.01932660277326006,-0.5051512394959304,LOW,SHORT,UP,DOWN
2023-05-09,0.009447922633489923,-0.5214558866679474,LOW,SHORT,UP,DOWN
2023-05-10,-0.007426977493639411,-0.5206826840284995,LOW,SHORT,DOWN,DOWN
2023-05-11,-0.017863204463481844,-0.5110366718432532,LOW,SHORT,DOWN,DOWN
2023-05-12,-0.01883235209870723,-0.49784068894719086,LOW,SHORT,DOWN,DOWN
2023-05-15,0.014713234771474664,-0.48431670141747496,LOW,SHORT,UP,DOWN
2023-05-16,-0.007169643611633441,-0.5051965243234262,LOW,SHORT,DOWN,DOWN
2023-05-17,0.03240802049937566,-0.504433837273457,LOW,SHORT,UP,DOWN
2023-05-18,-0.008706484743445873,-0.5375459605443351,LOW,SHORT,DOWN,DOWN
2023-05-19,-0.0021885171620354663,-0.5238453960613277,LOW,SHORT,DOWN,DOWN
2023-05-22,0.00015645601198915416,-0.5162379509755589,LOW,SHORT,UP,DOWN
2023-05-23,0.014909468290103724,-0.5162264598023917,LOW,SHORT,UP,DOWN
2023-05-24,0.012104658282519509,-0.5328872053834817,LOW,SHORT,UP,DOWN
2023-05-25,-0.024201679471242327,-0.5408264266410585,LOW,SHORT,DOWN,DOWN
2023-05-26,0.011017362077227788,-0.5087253328357362,LOW,SHORT,UP,DOWN
2023-05-30,-0.03934423690606759,-0.5181421635206072,LOW,SHORT,DOWN,DOWN
2023-05-31,-0.027171575846606393,-0.48539016715063565,LOW,SHORT,DOWN,DOWN
2023-06-01,0.03117638701506476,-0.4660730588521439,LOW,SHORT,UP,DOWN
2023-06-02,0.025257890132107705,-0.5022993056881814,LOW,SHORT,UP,DOWN
2023-06-05,-0.0018724103815936021,-0.5231649441609858,LOW,SHORT,DOWN,DOWN
2023-06-06,-0.0037552518600890913,-0.5109077437158771,LOW,SHORT,DOWN,DOWN
2023-06-07,0.014319282314944294,-0.5022301765514752,LOW,SHORT,UP,DOWN
2023-06-08,-0.01950596319280785,-0.5188913497286364,LOW,SHORT,DOWN,DOWN
2023-06-09,-0.00838676933991773,-0.5042370574848172,LOW,SHORT,DOWN,DOWN
2023-06-12,-0.04368639103365808,-0.4983960805736469,LOW,SHORT,DOWN,DOWN
2023-06-13,0.03105328278806812,-0.4595103400188039,LOW,SHORT,UP,DOWN
2023-06-14,-0.005001180957882786,-0.4979736273007538,LOW,SHORT,DOWN,DOWN
2023-06-15,0.025232862120753194,-0.4990642755637284,LOW,SHORT,UP,DOWN
2023-06-16,0.014715335024382634,-0.5225668394188833,LOW,SHORT,UP,DOWN
2023-06-19,0.0,-0.527206509995805,LOW,SHORT,FLAT,DOWN
2023-08-02,0.10508082692452941,-0.5163961435708716,LOW,SHORT,UP,DOWN
2023-08-03,0.022957667121775823,-0.5789068288889351,MEDIUM,SHORT,UP,DOWN
2023-08-04,0.008847829101217144,-0.5911063973267526,MEDIUM,SHORT,UP,DOWN
2023-08-07,0.00040645999032376225,-0.6087920307895641,HIGH,SHORT,UP,DOWN
2023-08-08,0.0032458490524185546,-0.6178484909381965,HIGH,SHORT,UP,DOWN
2023-08-09,0.013944995931908974,-0.6160435825150664,HIGH,SHORT,UP,DOWN
2023-08-10,-0.012056429407605004,-0.6199638998876054,HIGH,SHORT,DOWN,DOWN
2023-08-11,0.0006736686382865583,-0.6029776644090337,MEDIUM,SHORT,UP,DOWN
2023-08-14,-0.005943586977752165,-0.6054104265288931,MEDIUM,SHORT,DOWN,DOWN
2023-08-15,-0.01625378689757854,-0.6034971495316227,MEDIUM,SHORT,DOWN,DOWN
2023-08-16,-0.017362752340797996,-0.5876978308450667,MEDIUM,SHORT,DOWN,DOWN
2023-08-17,0.008510697821235626,-0.5691169488985697,MEDIUM,SHORT,UP,DOWN
2023-08-18,0.011190246419903169,-0.5773311813402581,MEDIUM,SHORT,UP,DOWN
2023-08-21,-0.002889168694806413,-0.5876020944031239,MEDIUM,SHORT,DOWN,DOWN
2023-08-22,-0.004141978177517621,-0.5803036266599146,MEDIUM,SHORT,DOWN,DOWN
2023-08-23,-0.012809952010608331,-0.571959074992257,MEDIUM,SHORT,DOWN,DOWN
2023-08-24,0.0007004700189953696,-0.5586863741594302,LOW,SHORT,UP,DOWN
2023-08-25,0.014458659800547261,-0.5590514617760363,LOW,SHORT,UP,DOWN
2023-08-28,-0.0005521646690655364,-0.5715122143969518,MEDIUM,SHORT,DOWN,DOWN
2023-08-29,0.012488956833895738,-0.568056604920926,LOW,SHORT,UP,DOWN
2023-08-30,0.0046265419240497365,-0.5782711039203381,MEDIUM,SHORT,UP,DOWN
2023-08-31,0.0188278004475025,-0.5809593749077477,MEDIUM,SHORT,UP,DOWN
2023-09-01,0.02447813573510389,-0.5979336041341506,MEDIUM,SHORT,UP,DOWN
2023-09-04,0.0,-0.6200755101867115,HIGH,SHORT,FLAT,DOWN
2023-10-03,0.03838535854005024,-0.6179616433797386,HIGH,SHORT,UP,DOWN
