日期,收盘,开盘,高,低,交易量,涨跌幅
2015-05-03,24.82,25.1,25.1,23.59,449.12K,-0.20%
2015-05-10,24.89,25.07,25.2,24.51,181.74K,0.28%
2015-05-17,23.12,24.95,25.19,23.05,512.22K,-7.11%
2015-05-24,23.1,23.16,23.33,22.56,1.30M,-0.09%
2015-05-31,23.11,22.92,23.74,22.92,237.60K,0.04%
2015-06-07,22.65,22.98,23.05,21.65,371.08K,-1.99%
2015-06-14,22.78,22.45,22.99,22,184.05K,0.57%
2015-06-21,22.96,23.24,23.63,22.93,464.06K,0.79%
2015-06-28,22.1,22.68,22.8,21.66,302.83K,-3.75%
2015-07-05,23.1,22.01,23.14,21.89,140.46K,4.52%
2015-07-12,23.58,23.57,23.66,22.87,224.69K,2.08%
2015-07-19,23.17,23.69,24.48,23.17,305.76K,-1.74%
2015-07-26,23.56,23.01,23.68,22.78,215.84K,1.68%
2015-08-02,24.26,23.76,24.89,23.74,338.72K,2.97%
2015-08-09,24.77,24.41,24.82,23.64,372.45K,2.10%
2015-08-16,23,24.74,25.2,23,641.79K,-7.15%
2015-08-23,22.86,21.32,23.34,15.23,372.80K,-0.61%
2015-08-30,23.24,22.92,23.6,22.37,303.30K,1.66%
2015-09-06,23.94,23.62,24.1,23.51,102.51K,3.01%
2015-09-13,24.5,24.03,25.06,23.94,250.83K,2.34%
2015-09-20,23.73,24.58,24.8,23.39,70.92K,-3.14%
2015-09-27,23.31,23.06,23.41,22.75,139.50K,-1.77%
2015-10-04,24.28,23.39,24.31,22.92,129.38K,4.16%
2015-10-11,24.45,24.38,24.92,24.32,170.69K,0.70%
2015-10-18,25.6,24.46,25.66,24.46,179.63K,4.70%
2015-10-25,25.66,25.62,26,25.17,288.07K,0.23%
2015-11-01,26.05,25.76,26.06,25.56,217.92K,1.52%
2015-11-08,25.11,25.95,25.95,24.91,170.21K,-3.61%
2015-11-15,25.45,24.69,25.55,24.53,184.13K,1.35%
2015-11-22,24.89,25.59,25.65,24.59,88.55K,-2.20%
2015-11-29,25.96,24.85,26.06,24.64,92.32K,4.30%
2015-12-06,24.79,26.22,26.72,24.69,444.03K,-4.51%
2015-12-13,24.7,24.92,25.72,24.35,204.43K,-0.36%
2015-12-20,25.52,24.99,25.74,24.93,153.41K,3.32%
2015-12-27,24.92,25.68,25.72,24.75,156.81K,-2.35%
2016-01-03,23.01,24.47,24.47,23.01,339.85K,-7.66%
2016-01-10,21.97,23.24,23.32,21.62,298.22K,-4.52%
2016-01-17,22.57,22.33,22.8,21,200.02K,2.73%
2016-01-24,22.32,22.64,22.85,21.4,209.85K,-1.11%
2016-01-31,21.38,22.34,22.81,21.28,154.22K,-4.21%
2016-02-07,21.7,21.11,21.76,20.46,388.94K,1.50%
2016-02-14,23.24,22.13,23.31,21.77,102.14K,7.10%
2016-02-21,24.09,23.48,24.42,23.36,253.88K,3.66%
2016-02-28,24.72,24.07,24.9,23.94,191.19K,2.62%
2016-03-06,24.74,24.58,24.82,23.87,191.27K,0.08%
2016-03-13,25.42,24.67,25.46,24.55,140.96K,2.75%
2016-03-20,24.81,25.22,25.65,24.65,304.77K,-2.40%
2016-03-27,25.03,24.89,25.72,24.77,152.77K,0.89%
2016-04-03,24.81,25.29,25.54,24.44,115.86K,-0.88%
2016-04-10,25.82,25,26.05,24.83,120.24K,4.07%
2016-04-17,24.73,25.79,26.14,24.65,134.68K,-4.22%
