Date_target,Oil_GRU_z_used,NewEnergy_MeanPred,NewEnergy_Sigma,CI_low,CI_high,ConfLevel,RiskLevel
2025-12-26,0.0,0.0001465435989338399,0.05,-0.09785345640106616,0.09814654359893385,0.95,HIGH
2025-12-29,0.0,0.0002053528646723,0.05,-0.0977946471353277,0.0982053528646723,0.95,HIGH
2025-12-30,0.0,6.843690117697143e-05,0.05,-0.09793156309882303,0.09806843690117698,0.95,HIGH
2025-12-31,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-01-05,0.0,6.843221788810361e-05,0.05,-0.0979315677821119,0.09806843221788811,0.95,HIGH
2026-01-06,0.0,0.000410565211441,0.05,-0.097589434788559,0.09841056521144101,0.95,HIGH
2026-01-07,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-01-08,0.0,-6.839945280434634e-05,0.05,-0.09806839945280435,0.09793160054719566,0.95,HIGH
2026-01-09,0.0,-6.840413160946746e-05,0.05,-0.09806840413160947,0.09793159586839054,0.95,HIGH
2026-01-12,0.0,6.840881105474317e-05,0.05,-0.09793159118894526,0.09806840881105475,0.95,HIGH
2026-01-13,0.0,0.0002052123948286,0.05,-0.09779478760517141,0.0982052123948286,0.95,HIGH
2026-01-14,0.0,0.000136780194228,0.05,-0.097863219805772,0.098136780194228,0.95,HIGH
2026-01-15,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-01-16,0.0,0.0002051422319475,0.05,-0.09779485776805251,0.0982051422319475,0.95,HIGH
2026-01-19,0.0,0.0001367334381621,0.05,-0.0978632665618379,0.09813673343816211,0.95,HIGH
2026-01-20,0.0,0.0002734294893704,0.05,-0.0977265705106296,0.0982734294893704,0.95,HIGH
2026-01-21,0.0,0.0002050160595914,0.05,-0.0977949839404086,0.09820501605959141,0.95,HIGH
2026-01-22,0.0,0.000273298715496,0.05,-0.097726701284504,0.098273298715496,0.95,HIGH
2026-01-23,0.0,0.0002732240437157,0.05,-0.0977267759562843,0.0982732240437157,0.95,HIGH
2026-01-26,0.0,0.0002048620595465,0.05,-0.0977951379404535,0.09820486205954651,0.95,HIGH
2026-01-27,0.0,0.0003413668327985,0.05,-0.0976586331672015,0.09834136683279851,0.95,HIGH
2026-01-28,0.0,6.825006825006419e-05,0.05,-0.09793174993174994,0.09806825006825007,0.95,HIGH
2026-01-29,0.0,0.0002047362314885,0.05,-0.0977952637685115,0.09820473623148851,0.95,HIGH
2026-01-30,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-02-02,0.0,0.0001364628820961,0.05,-0.09786353711790391,0.0981364628820961,0.95,HIGH
2026-02-03,0.0,0.0002046663937782,0.05,-0.09779533360622181,0.0982046663937782,0.95,HIGH
2026-02-04,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-02-05,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-02-06,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-02-09,0.0,0.0002046245140165,0.05,-0.09779537548598351,0.0982046245140165,0.95,HIGH
2026-02-10,0.0,0.0003409710856521,0.05,-0.0976590289143479,0.09834097108565211,0.95,HIGH
2026-02-11,0.0,0.0001363419455995,0.05,-0.0978636580544005,0.0981363419455995,0.95,HIGH
2026-02-12,0.0,0.0002044850385114,0.05,-0.0977955149614886,0.09820448503851141,0.95,HIGH
2026-02-13,0.0,0.0002044432329288,0.05,-0.0977955567670712,0.0982044432329288,0.95,HIGH
2026-02-24,0.0,0.0002044014444368,0.05,-0.0977955985555632,0.0982044014444368,0.95,HIGH
2026-02-25,0.0,0.0006811989100816,0.05,-0.0973188010899184,0.0986811989100816,0.95,HIGH
2026-02-26,0.0,0.0001361470388017,0.05,-0.0978638529611983,0.0981361470388017,0.95,HIGH
2026-02-27,0.0,-6.806425265448723e-05,0.05,-0.09806806425265449,0.09793193574734552,0.95,HIGH
2026-03-02,0.0,-6.806888571231351e-05,0.05,-0.09806806888571232,0.09793193111428769,0.95,HIGH
2026-03-03,0.0,0.0002722940776036,0.05,-0.09772770592239641,0.0982722940776036,0.95,HIGH
2026-03-04,0.0,6.805498843065472e-05,0.05,-0.09793194501156935,0.09806805498843066,0.95,HIGH
2026-03-05,0.0,0.0002041510717931,0.05,-0.0977958489282069,0.0982041510717931,0.95,HIGH
2026-03-06,0.0,0.0002721458701866,0.05,-0.0977278541298134,0.09827214587018661,0.95,HIGH
2026-03-09,0.0,0.0002040538702217,0.05,-0.09779594612977831,0.0982040538702217,0.95,HIGH
2026-03-10,0.0,0.0001360081604895,0.05,-0.0978639918395105,0.09813600816048951,0.95,HIGH
2026-03-11,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-03-12,0.0,0.0001359896647854,0.05,-0.09786401033521461,0.0981359896647854,0.95,HIGH
2026-03-13,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-03-16,0.0,0.0001359711741111,0.05,-0.0978640288258889,0.0981359711741111,0.95,HIGH
2026-03-17,0.0,0.0002039290326965,0.05,-0.0977960709673035,0.09820392903269651,0.95,HIGH
2026-03-18,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-03-19,0.0,6.796248470863908e-05,0.05,-0.09793203751529136,0.09806796248470864,0.95,HIGH
2026-03-20,0.0,0.000271831464492,0.05,-0.097728168535508,0.098271831464492,0.95,HIGH
2026-03-23,0.0,0.0001358787961138,0.05,-0.0978641212038862,0.09813587879611381,0.95,HIGH
2026-03-24,0.0,0.0001358603355749,0.05,-0.0978641396644251,0.0981358603355749,0.95,HIGH
2026-03-25,0.0,0.0,0.05,-0.098,0.098,0.95,HIGH
2026-03-26,0.0,0.0002037628200775,0.05,-0.0977962371799225,0.0982037628200775,0.95,HIGH
2026-03-27,0.0,6.79071030831313e-05,0.05,-0.09793209289691687,0.09806790710308314,0.95,HIGH
2026-03-30,0.0,0.0002037074760643,0.05,-0.09779629252393571,0.0982037074760643,0.95,HIGH
2026-03-31,0.0,0.0004073319755601,0.05,-0.0975926680244399,0.0984073319755601,0.95,HIGH
