"Indexcd","Idxtrd01","Idxtrd02","Idxtrd03","Idxtrd04","Idxtrd05","Idxtrd06","Idxtrd07","Idxtrd08","Idxtrd09"
"000827","2016-01-04","2121.147","2124.130","1938.942","1938.942","161578.90","2621598.11","-8.627700","中证环保"
"000827","2016-01-05","1850.989","1954.797","1841.015","1915.649","242404.30","3699574.94","-1.201300","中证环保"
"000827","2016-01-06","1922.594","1959.056","1908.346","1958.908","187770.96","2927181.57","2.258200","中证环保"
"000827","2016-01-07","1922.458","1922.458","1785.953","1789.489","51986.48","774830.00","-8.648600","中证环保"
"000827","2016-01-08","1841.106","1858.050","1720.234","1818.110","215566.59","3136380.47","1.599400","中证环保"
"000827","2016-01-11","1782.382","1807.369","1691.872","1693.881","210209.59","2968622.28","-6.832900","中证环保"
"000827","2016-01-12","1698.718","1719.153","1661.180","1705.917","174463.15","2391493.78","0.710600","中证环保"
"000827","2016-01-13","1714.942","1727.490","1642.864","1643.857","149573.87","2071678.97","-3.637900","中证环保"
"000827","2016-01-14","1592.043","1706.559","1589.591","1701.667","180193.85","2372547.24","3.516700","中证环保"
"000827","2016-01-15","1691.603","1706.365","1625.188","1636.665","169806.02","2266747.48","-3.819900","中证环保"
"000827","2016-01-18","1599.465","1679.214","1599.195","1660.912","140285.24","1879198.06","1.481500","中证环保"
"000827","2016-01-19","1659.069","1724.924","1656.631","1722.072","174291.00","2343705.58","3.682300","中证环保"
"000827","2016-01-20","1714.078","1736.543","1696.711","1708.961","197121.65","2556301.35","-0.761400","中证环保"
"000827","2016-01-21","1677.020","1717.610","1631.154","1631.154","163639.12","2129595.00","-4.552900","中证环保"
"000827","2016-01-22","1651.840","1667.606","1612.091","1658.868","126559.40","1656425.53","1.699000","中证环保"
"000827","2016-01-25","1675.846","1691.192","1659.247","1676.362","120484.52","1585676.57","1.054600","中证环保"
"000827","2016-01-26","1657.995","1659.511","1543.089","1546.767","176302.62","2156587.44","-7.730700","中证环保"
"000827","2016-01-27","1551.320","1558.790","1450.922","1519.927","182910.20","2128239.06","-1.735200","中证环保"
"000827","2016-01-28","1506.296","1522.868","1453.758","1459.433","136396.93","1602842.69","-3.980100","中证环保"
"000827","2016-01-29","1458.484","1528.586","1456.492","1515.464","140903.61","1657340.36","3.839200","中证环保"
"000827","2016-02-01","1514.162","1524.136","1474.949","1496.750","114798.96","1391918.81","-1.234900","中证环保"
"000827","2016-02-02","1499.411","1555.046","1499.381","1549.236","127716.51","1538129.32","3.506700","中证环保"
